candidate_id,title,year,source_type,doi,pmid,url,primary_rq,directness,eligibility,claim_impact,human_screening_state
"CCH-A-001","How do endurance runners actually train? Relationship with competition performance","2005","PRIMARY_COMPARATIVE_STUDY","10.1249/01.mss.0000155393.78744.86","15741850","https://pubmed.ncbi.nlm.nih.gov/15741850/","RQ-A","INDIRECT_ADULT_ENDURANCE","INCLUDE_CANDIDATE","Supports descriptive links between training organization and performance only; no nonweekly or 9.5-day comparison","PENDING_HUMAN_SCREENING"
"CCH-A-002","Training Session Models in Endurance Sports: A Norwegian Perspective on Best Practice Recommendations","2024","PRACTICE_REVIEW","10.1007/s40279-024-02067-4","39012575","https://pubmed.ncbi.nlm.nih.gov/39012575/","RQ-A","INDIRECT_ADULT_ENDURANCE","INCLUDE_CANDIDATE","Adds component and session-model vocabulary but cannot validate a 9.5-day frame or youth prescription","PENDING_HUMAN_SCREENING"
"CCH-A-003","Training variability and threshold density: a conceptual comparison of East African and Norwegian endurance training systems","2026","CONCEPTUAL_REVIEW","10.3389/fphys.2026.1878492","42389749","https://pubmed.ncbi.nlm.nih.gov/42389749/","RQ-A","INDIRECT_ELITE_ENDURANCE","CONTEXT_ONLY_CANDIDATE","Reinforces that successful systems vary in session density; no exact cycle-length trial and no youth safety authority","PENDING_HUMAN_SCREENING"
"CCH-B-001","Fatigue and Recovery Time Course After Female Soccer Matches: A Systematic Review And Meta-analysis","2022","SYSTEMATIC_REVIEW_META_ANALYSIS","10.1186/s40798-022-00466-3","35657571","https://pubmed.ncbi.nlm.nih.gov/35657571/","RQ-B","INDIRECT_ADULT_TEAM_SPORT","INCLUDE_CANDIDATE","Separates performance perceptual and biochemical recovery timelines; contradicts one recovery-complete timestamp","PENDING_HUMAN_SCREENING"
"CCH-B-002","The Effect of Exercise-Induced Muscle Damage on Lower Limb Side Cut Biomechanics and Task Achievement in Male and Female Team Sport Athletes","2025","PRIMARY_REPEATED_MEASURES_STUDY","10.1002/ejsc.70051","40884423","https://pubmed.ncbi.nlm.nih.gov/40884423/","RQ-B","INDIRECT_ADULT_TEAM_SPORT","INCLUDE_CANDIDATE","Adds sex-inclusive 48-hour biomechanics evidence but does not transfer to adolescent middle-distance MAIN clearance","PENDING_HUMAN_SCREENING"
"CCH-B-003","The Effects of Match-Play on Markers of Recovery in Professional Female and Male Soccer Players","2026","PRIMARY_REPEATED_MEASURES_STUDY","10.1519/JSC.0000000000005586","42351387","https://pubmed.ncbi.nlm.nih.gov/42351387/","RQ-B","INDIRECT_TEAM_SPORT","INCLUDE_CANDIDATE","Shows marker- and sex-specific residual effects at day three; strengthens prohibition on treating 72 hours as universal clearance","PENDING_HUMAN_SCREENING"
"CCH-B-004","Physical and Mental Recovery for Female Footballers: Considerations and Approaches for Better Practice","2026","NARRATIVE_REVIEW","10.1007/s40279-025-02246-x","40853524","https://pubmed.ncbi.nlm.nih.gov/40853524/","RQ-B","INDIRECT_ADULT_TEAM_SPORT","CONTEXT_ONLY_CANDIDATE","Adds female-specific recovery context while explicitly retaining individual variability and incomplete evidence","PENDING_HUMAN_SCREENING"
"CCH-C-001","Effect of Sequencing Strength and Endurance Training in Young Male Soccer Players","2016","PRIMARY_RANDOMIZED_INTERVENTION","10.1519/JSC.0000000000001164","26332782","https://pubmed.ncbi.nlm.nih.gov/26332782/","RQ-C","PARTIAL_YOUTH_OTHER_SPORT","INCLUDE_CANDIDATE","Suggests limited sequence differences in one youth soccer protocol; cannot become a universal Formation order rule","PENDING_HUMAN_SCREENING"
"CCH-C-002","The effects of concurrent training on physical fitness in children and adolescents: a systematic review and meta-analysis","2026","SYSTEMATIC_REVIEW_META_ANALYSIS","10.3389/fped.2026.1800025","42038220","https://pubmed.ncbi.nlm.nih.gov/42038220/","RQ-C","PARTIAL_YOUTH_MIXED_SPORT","INCLUDE_CANDIDATE","Updates youth concurrent-training evidence but high heterogeneity and an age range extending to 24 block exact sequence and spacing rules","PENDING_HUMAN_SCREENING"
"CCH-D-001","Perspectives from research and practice: A survey on external load monitoring and bone in sport","2023","CROSS_SECTIONAL_SURVEY","10.3389/fspor.2023.1150052","37181251","https://pubmed.ncbi.nlm.nih.gov/37181251/","RQ-D","INDIRECT_MIXED_SPORT","CONTEXT_ONLY_CANDIDATE","Supports provenance and construct separation; survey perceptions cannot establish bone-stress risk thresholds","PENDING_HUMAN_SCREENING"
"CCH-D-002","Monitoring Training Effects in Athletes: A Multidimensional Framework for Decision-Making","2026","NARRATIVE_REVIEW","10.1007/s40279-026-02417-4","41824225","https://pubmed.ncbi.nlm.nih.gov/41824225/","RQ-D","INDIRECT_ELITE_MIXED_SPORT","INCLUDE_CANDIDATE","Supports separating load state and response but its pragmatic two-session example must not become a universal baseline minimum","PENDING_HUMAN_SCREENING"
