source_id,title,year,source_type,doi,pmid,pmcid,url,full_text_state,correction_state,population,event,age_range,sex,maturity,training_status,rq_tags,funding,conflicts,overlap_group,notes
SRC-PMID-37776346,Recovery kinetics following sprint training: resisted versus unresisted sprints,2024,PRIMARY_OR_OFFICIAL_SOURCE,10.1007/s00421-023-05317-x,37776346,PMC10879260,https://pmc.ncbi.nlm.nih.gov/articles/PMC10879260/,FULL_TEXT_VERIFIED,NO_LINKED_CORRECTION_OR_RETRACTION_FOUND,acceleration sprint; adults; sex/age NR here; well-trained/familiarized; no maturity,acceleration sprint; adults; sex/age NR here; well-trained/familiarized; no maturity,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,B,NR/NR; recovery-primary cluster,NR/NR; recovery-primary cluster,NONE_IDENTIFIED,`CORRECT_BUT_BAD_LINK`: 20% body-mass resisted sprints impaired selected sprint/EIMD measures through 72 h; not a universal interval or runner-youth rule.
SRC-PMID-20386477,Time course of changes in performance and inflammatory responses after acute plyometric exercise,2010,RANDOMIZED_OR_COMPARATIVE_PRIMARY,10.1519/JSC.0b013e3181d1d318,20386477,NOT_ASSIGNED,https://pubmed.ncbi.nlm.nih.gov/20386477/,ABSTRACT_ONLY,NO_LINKED_CORRECTION_OR_RETRACTION_FOUND,intense plyometric bout; adults NR; sex NR; training NR,intense plyometric bout; adults NR; sex NR; training NR,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,B;C,NR/NR; recovery-primary cluster,NR/NR; recovery-primary cluster,NONE_IDENTIFIED,"`CORRECT`: jump performance fell up to 72 h while strength did not; outcome-specific, unfamiliar-protocol transfer only."
SRC-PMID-34296839,The acute effect of a multi-modal plyometric training session on field-specific performance measures,2021,PRIMARY_OR_OFFICIAL_SOURCE,10.23736/S0022-4707.20.11603-7,34296839,NOT_ASSIGNED,https://pubmed.ncbi.nlm.nih.gov/34296839/,ABSTRACT_ONLY,NO_LINKED_CORRECTION_OR_RETRACTION_FOUND,combined plyometric/resistance; adult competitive Ultimate players; n=9; sex/maturity NR,combined plyometric/resistance; adult competitive Ultimate players; n=9; sex/maturity NR,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,B;C,NR/NR,NR/NR,NONE_IDENTIFIED,`CORRECT`: selected jumps/sprint remained impaired at 48 h; small other-sport sample and unfamiliarity matter.
SRC-PMID-35721873,Gait and Neuromuscular Changes Are Evident in Some Masters Club Level Runners 24-h After Interval Training Run,2022,PRIMARY_OR_OFFICIAL_SOURCE,10.3389/fspor.2022.830278,35721873,PMC9201250,https://pmc.ncbi.nlm.nih.gov/articles/PMC9201250/,FULL_TEXT_VERIFIED,NO_LINKED_CORRECTION_OR_RETRACTION_FOUND,6x800 m interval run; masters club runners; mixed sex; trained; no maturity,6x800 m interval run; masters club runners; mixed sex; trained; no maturity,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,B,NR/NR; cited twice by DOI and PMID,NR/NR; cited twice by DOI and PMID,NONE_IDENTIFIED,`CORRECT`: most selected measures were near baseline at 24 h but some changes remained; never a complete-recovery guarantee.
SRC-PMID-41048235,Impact of post-match fatigue on peak force in elite youth soccer players...,2025,PRIMARY_OR_OFFICIAL_SOURCE,10.5114/biolsport.2025.150044,41048235,PMC12490303,https://pmc.ncbi.nlm.nih.gov/articles/PMC12490303/,FULL_TEXT_VERIFIED,NO_LINKED_CORRECTION_OR_RETRACTION_FOUND,soccer match/MD+2; U19/U23; sex NR; elite youth; maturity unmeasured,soccer match/MD+2; U19/U23; sex NR; elite youth; maturity unmeasured,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,B;F;G,no funding stated/no COI,no funding stated/no COI,NONE_IDENTIFIED,"`CORRECT`: IMTP peak force remained lower at 72 h, including a control-condition training effect; indirect to middle-distance running."
SRC-PMID-23134196,Effects of 12 weeks of block periodization...well-trained cyclists,2014,PRIMARY_OR_OFFICIAL_SOURCE,10.1111/sms.12016,23134196,NOT_ASSIGNED,https://pubmed.ncbi.nlm.nih.gov/23134196/,ABSTRACT_ONLY,NO_LINKED_CORRECTION_OR_RETRACTION_FOUND,cycling; adults; sex NR; well-trained,cycling; adults; sex NR; well-trained,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,A,NR/NR; included in periodization reviews,NR/NR; included in periodization reviews,NONE_IDENTIFIED,`CORRECT`: small n=15 study favored BP on some indices; not 9.5-day running evidence.
SRC-PMID-31802956,Block periodization of endurance training - a systematic review and meta-analysis,2019,SYSTEMATIC_REVIEW_OR_META_ANALYSIS,10.2147/OAJSM.S180408,31802956,PMC6802561,https://pmc.ncbi.nlm.nih.gov/articles/PMC6802561/,FULL_TEXT_VERIFIED,NO_LINKED_CORRECTION_OR_RETRACTION_FOUND,trained/well-trained endurance athletes; adult-dominant; mixed sports/sex; maturity NR,trained/well-trained endurance athletes; adult-dominant; mixed sports/sex; maturity NR,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,A,no funding/no COI; `OV-PERIODIZATION`,no funding/no COI; `OV-PERIODIZATION`,OV-PERIODIZATION,`CORRECT`: small favorable VO2max/Wmax effects with low-quality small studies; no 9/9.5/10-day superiority.
SRC-PMID-35299664,No Differences Between 12 Weeks of Block- vs. Traditional-Periodized Training...,2022,PRIMARY_OR_OFFICIAL_SOURCE,10.3389/fphys.2022.837634,35299664,PMC8921659,https://pmc.ncbi.nlm.nih.gov/articles/PMC8921659/,FULL_TEXT_VERIFIED,NO_LINKED_CORRECTION_OR_RETRACTION_FOUND,cyclists; adults; sex NR; trained,cyclists; adults; sex NR; trained,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,A,NR/no COI; `OV-PERIODIZATION`,NR/no COI; `OV-PERIODIZATION`,OV-PERIODIZATION,`CORRECT`: both improved and no time-trial/performance difference; counters universal BP superiority.
SRC-PMID-27300278,The Effect of Different High-Intensity Periodization Models on Endurance Adaptations,2016,RANDOMIZED_OR_COMPARATIVE_PRIMARY,10.1249/MSS.0000000000001007,27300278,NOT_ASSIGNED,https://pubmed.ncbi.nlm.nih.gov/27300278/,ABSTRACT_ONLY,NO_LINKED_CORRECTION_OR_RETRACTION_FOUND,12-week cycling HIT; adults; sex NR; trained,12-week cycling HIT; adults; sex NR; trained,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,A,non-US research support/NR; `OV-PERIODIZATION`,non-US research support/NR; `OV-PERIODIZATION`,OV-PERIODIZATION,`CORRECT`: load-matched increasing/decreasing/mixed order showed no between-group adaptation difference.
SRC-PMID-31024338,Block vs. Traditional Periodization of HIT...World's Best Cross-Country Skier,2019,CASE_OR_SINGLE_CASE,10.3389/fphys.2019.00375,31024338,PMC6460991,https://pmc.ncbi.nlm.nih.gov/articles/PMC6460991/,FULL_TEXT_VERIFIED,NO_LINKED_CORRECTION_OR_RETRACTION_FOUND,cross-country skiing; one elite adult woman; world class,cross-country skiing; one elite adult woman; world class,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,A,NR/NR; `OV-PERIODIZATION`,NR/NR; `OV-PERIODIZATION`,OV-PERIODIZATION,"`CORRECT`: successful 7-11-day HIT blocks are descriptive n=1 history, not causal or youth-running evidence."
