source_id,rq_id,population,event,age_range,sex,maturity,training_age,competitive_level,season,intervention,comparator,component_dose,component_order,separation_hours,target_interval_hours,actual_interval_hours,outcome_domain,outcome_measure,instrument_protocol,time_horizon,time_points,missingness,adverse_events,effect_estimate,uncertainty,individual_response,limitations,reviewer_1,reviewer_2,adjudication
"SRC-PMID-28463642","RQ-D","Athletes across sports","MULTI_SPORT","NOT_REPORTED","NOT_REPORTED","NOT_REPORTED","NOT_REPORTED","MIXED","NOT_REPORTED","Expert consensus framework separating external work from internal response","Heterogeneous athlete-monitoring methods","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","TAXONOMY_AND_INTERPRETABILITY","Internal-load and external-load framework","2016 Doha expert conference synthesis; method identity required","CROSS_SECTIONAL_CONCEPTUAL","NOT_APPLICABLE","NOT_REPORTED","NOT_REPORTED","No quantitative effect estimate; framework documents heterogeneous methods","Consensus evidence; no target-population validation or universal total","NOT_REPORTED","Consensus rather than validation; no youth middle-distance directness; does not support a downstream state score","NOT_APPLICABLE","AI_EXTRACT_LANE_2","PENDING"
"FRV2-D-002","RQ-D","Exercise-training populations generally","MULTI_SPORT","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_REPORTED","GENERAL_TRAINING_FRAMEWORK","NOT_REPORTED","Conceptual separation of external training work and internal response","Earlier and potentially ambiguous training-load definitions","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","TAXONOMY_AND_INTERPRETABILITY","Two-component internal/external construct","Conceptual commentary; family identity must precede comparison","CONCEPTUAL","NOT_APPLICABLE","NOT_REPORTED","NOT_REPORTED","No quantitative effect estimate","Operational definitions not extracted beyond abstract; not a validation study","NOT_REPORTED","Commentary; not youth-runner specific; external work cannot stand in for internal response and vice versa","NOT_APPLICABLE","AI_EXTRACT_LANE_2","PENDING"
"FRV2-D-003","RQ-D","Participants performing cycling or basketball; exact composition not verified","CYCLING_AND_BASKETBALL","NOT_REPORTED","NOT_REPORTED","NOT_REPORTED","NOT_REPORTED","NOT_VERIFIED","NOT_REPORTED","Whole-session RPE multiplied using the Foster session-RPE method","Heart-rate-based training-load method","Steady-state or interval cycling and basketball; exact doses not reported in abstract","WHOLE_SESSION_RPE_ON_PARENT_ONLY","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","METHOD_AGREEMENT_AND_INTERPRETABILITY","Relationship and absolute-score comparison between sRPE and HR-based scores","Named sRPE prompt/scale/timing/duration/formula required; global value must not be split across components","ACUTE_SESSION_COMPARISON","POST_SESSION; exact timing not verified from abstract","NOT_REPORTED; missing inputs must not be represented as zero","NOT_REPORTED","Relationships were consistent across exercise types but absolute sRPE scores were significantly greater than HR-method scores","No numeric estimate in verified abstract; HR is not a criterion for every stress construct","NOT_REPORTED","Participant detail unavailable from abstract; not youth runners; correlation does not establish numerical interchangeability","NOT_APPLICABLE","AI_EXTRACT_LANE_2","PENDING"
"SRC-PMID-30160557","RQ-D","15 adolescent distance runners","DISTANCE_RUNNING","Mean 15.2 +/- 1.6 years","BOTH; counts not reported in abstract","NOT_REPORTED","NOT_REPORTED","ADOLESCENT_DISTANCE_RUNNERS","REGULAR_TWO_WEEK_MESOCYCLE","CR10 whole-session RPE and differential leg/breathlessness RPE collected at multiple delays","Heart-rate criteria and within-session timing comparison","Treadmill familiarization plus regular two-week mesocycle","WHOLE_SESSION_RPE_ON_PARENT_ONLY","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","TIMING_VALIDITY_AND_PROTOCOL_CONTINUITY","sRPE; leg RPE; breathlessness RPE; correlations with HR criteria","CR10; response at 0 15 and 30 minutes; persist session-end and response timestamps","TWO_WEEKS","SESSION_END; 15_MIN; 30_MIN","NOT_REPORTED; observations from different timing protocols must not be silently pooled","NOT_REPORTED","At 30 versus 0 minutes: sRPE -26.5% +/- 5.5%; leg RPE -20.5% +/- 5.6%; breathlessness -38.9% +/- 7.4%; HR correlations largest at completion r=.74-.89","Small short study; 90% limits reported; all timings judged valid but not numerically identical","NOT_REPORTED","Sex-specific results and maturity absent; 800/1500 composition not reported; timing is part of method identity","NOT_APPLICABLE","AI_EXTRACT_LANE_2","PENDING"
"SRC-PMID-29163016","RQ-D","Athletes across sex age competition level and sport","MULTI_SPORT","CHILD_TO_ADULT","BOTH","NOT_REPORTED","NOT_REPORTED","MIXED","NOT_REPORTED","Foster modified-CR10 session-RPE method","Validity reliability and internal-consistency evidence across included studies","36 validation and reliability studies","WHOLE_SESSION_RPE_ON_PARENT_ONLY","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","VALIDITY_RELIABILITY_AND_INFLUENCING_FACTORS","Descriptive validity reliability and factors altering RPE","Registered CR10 prompt scale timing reporter duration source/unit and formula required","SEARCHES_THROUGH_2016","VARIED_BY_INCLUDED_STUDY","HETEROGENEOUS_OR_NOT_REPORTED; missing inputs produce not_computed","NOT_REPORTED","Review reports broad validity reliability and internal consistency while identifying factors that alter RPE","Heterogeneous populations protocols and correlation-based evidence","VARIED_OR_NOT_REPORTED","English restriction; low youth middle-distance directness; review does not make arbitrary units interchangeable","NOT_APPLICABLE","AI_EXTRACT_LANE_2","PENDING"
"FRV2-D-006","RQ-D","Recreational systematically training athletes across sports","MULTI_SPORT_INTERVAL_EXERCISE","NOT_REPORTED","NOT_REPORTED","NOT_REPORTED","NOT_REPORTED","RECREATIONAL_TRAINED","NOT_REPORTED","Borg CR10 and Borg 6-20 whole-session ratings 30 minutes after exercise","Heart-rate reserve and cross-scale comparison","Six randomized 30-minute interval sessions at 50% 75% or 85% peak power","WHOLE_SESSION_RPE_ON_PARENT_ONLY","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","SCALE_AGREEMENT_AND_INTERPRETABILITY","Cross-scale correlations absolute values and HR-reserve correlations","Persist scale ID anchors response timing duration and formula; no raw pooling across scales","SIX_ACUTE_SESSIONS","30_MIN_POSTEXERCISE","NOT_REPORTED","NOT_REPORTED","CR10 versus HR reserve r=.76; Borg 6-20 versus HR reserve r=.69; scales correlated r=.90 but absolute values differed","Exact sample size absent from abstract; correlation is not agreement","NOT_REPORTED","Adult or mixed-sport indirectness; controlled protocol; transformation requires separate validation","NOT_APPLICABLE","AI_EXTRACT_LANE_2","PENDING"
"FRV2-D-007","RQ-D","Patients through elite athletes across exercise modes","MULTI_SPORT","CHILD_TO_ADULT","BOTH","NOT_REPORTED","NOT_REPORTED","MIXED","HISTORICAL_SYNTHESIS","Historical development of whole-session rating of perceived exertion","Evidence across aerobic resistance game and clinical exercise modes","NOT_APPLICABLE","GLOBAL_SRPE_BELONGS_TO_PARENT_SESSION; LEAF_COMPONENTS_RETAIN_OBSERVED_FACTS; NO_PROPORTIONAL_SPLIT","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","CONSTRUCT_DEFINITION_AND_PROTOCOL","Average perceived intensity of an entire session","Original timing about 30 minutes post-bout; wider timing literature exists; scale/prompt/timing/duration must persist","25_YEAR_HISTORICAL_REVIEW","ABOUT_30_MIN_OR_STUDY_SPECIFIC","VARIED_OR_NOT_REPORTED","NOT_REPORTED","Defines sRPE as an entire-session internal-response construct and not precise external-load detail","Narrative developer-authored review; timing robustness does not erase direct timing differences","VARIED_OR_NOT_REPORTED","No validation of component allocation; a whole-session sRPE cannot be fractionally assigned to composite-session leaves","NOT_APPLICABLE","AI_EXTRACT_LANE_2","PENDING"
"FRV2-D-008","RQ-D","8 recreational long-distance runners","DISTANCE_RUNNING","Mean 39.9 +/- 6.5 years","NOT_REPORTED","NOT_REPORTED","NOT_REPORTED","RECREATIONAL_LONG_DISTANCE","NOT_REPORTED","Individualized TRIMP using each runner's heart-rate/lactate profile","Average group-weighted TRIMP methods","Eight weeks of recorded training; individual treadmill testing supplied thresholds","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","METHOD_SPECIFIC_VALIDITY_AND_RESPONSIVENESS","Relationships of weekly TRIMPi with physiological and performance change","TRIMPi method ID version individual test date thresholds and input lineage required","EIGHT_WEEKS","WEEKLY_LOAD_AND_PRE_POST_OUTCOMES","NOT_REPORTED; absent individual thresholds make TRIMPi not_computed","NOT_REPORTED","Weekly TRIMPi related to speed at 2 mmol/L r=.87 and 4 mmol/L r=.74 and to 5 km/10 km performance; group-average methods were not significant","Very small sample; associations do not establish method agreement or transfer","Individual profiles were explicit inputs; response heterogeneity otherwise not reported","Adult recreational sample; individual testing required; cannot relabel as generic TRIMP or convert to other arbitrary-unit methods","NOT_APPLICABLE","AI_EXTRACT_LANE_2","PENDING"
"FRV2-D-009","RQ-D","12 experienced runners","OUTDOOR_RUNNING","NOT_REPORTED","NOT_REPORTED","NOT_REPORTED","NOT_REPORTED","EXPERIENCED_RUNNERS","NOT_REPORTED","Whole-session RPE HR-based TRIMP and IMU/peak-ground-reaction-force cumulative biomechanical load","Cross-method and cross-session-type comparison","Endurance submaximal and interval outdoor sessions","WHOLE_SESSION_SRPE_ON_PARENT; COMPONENT_MEASURES_REMAIN_SEPARATE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","METHOD_AGREEMENT_AND_SESSION_TYPE_DISCRIMINATION","sRPE TRIMP biomechanical cumulative load and pairwise correlations","Persist perceptual physiological and biomechanical method IDs units device/protocol and input lineage","THREE_SESSION_TYPES","POST_SESSION_AND_DEVICE_STREAM; exact points not verified","NOT_REPORTED; missing device or subjective inputs must remain typed","NOT_REPORTED","sRPE distinguished session types while other measures did not; correlations r=.49 sRPE/TRIMP r=.25 sRPE/biomechanical r=.35 biomechanical/TRIMP","Small adult sample; criterion adequacy uncertain; only three session types","NOT_REPORTED","No youth/maturity evidence; arbitrary units are construct-specific and must not be summed into one currency","NOT_APPLICABLE","AI_EXTRACT_LANE_2","PENDING"
"FRV2-D-010","RQ-D","30 professional rowers","ROWING","NOT_REPORTED","NOT_REPORTED","NOT_REPORTED","NOT_REPORTED","PROFESSIONAL","NOT_REPORTED","Whole-session RPE across explosive-power endurance-strength ergometer and functional sessions","Banister TRIMP for applicable modalities or total weight lifted by modality","194 effective sessions over 12 months; named session examples include 6 km x 3 ergometer work","GLOBAL_SRPE_ON_PARENT; DO_NOT_INHERIT_ERGOMETER_CONVERSION_FOR_COMPOSITE_OR_STRENGTH_COMPONENTS","NOT_REPORTED","NOT_APPLICABLE","NOT_APPLICABLE","MODALITY_SPECIFIC_VALIDITY_AND_RELIABILITY","Test-retest reliability and sRPE comparator correlations by modality","Persist modality scale timing duration comparator and formula; comparator identity changes by modality","TWELVE_MONTHS","SESSION_LEVEL; exact collection timing not verified","Effective sessions reported; missingness otherwise not reported","NOT_REPORTED","Ergometer test-retest correlation/ICC about .758/.755; sRPE-TRIMP r=.811 in 6 km x 3 ergometer versus .258 (95% CI -.111 to .565) in functional training","Rowing indirectness; abstract description of session categories is not fully consistent","Modality-specific variation is material; individual distributions not reported","No youth or running directness; criterion changes by modality; no universal conversion or composite-session reduction","NOT_APPLICABLE","AI_EXTRACT_LANE_2","PENDING"
