source_id,title,year,source_type,doi,pmid,pmcid,url,full_text_state,correction_state,population,event,age_range,sex,maturity,training_status,rq_tags,funding,conflicts,overlap_group,notes
"FRV2-A-001","Training Periodization, Methods, Intensity Distribution, and Volume in Highly Trained and Elite Distance Runners: A Systematic Review","2022","SYSTEMATIC_REVIEW","10.1123/ijspp.2021-0435","35418513","NOT_REPORTED","https://pubmed.ncbi.nlm.nih.gov/35418513/","ABSTRACT_ONLY","NOT_VERIFIED","Highly trained and elite middle- and long-distance runners","1500 m through marathon","NOT_REPORTED","NOT_REPORTED","NOT_REPORTED","Highly trained and elite","RQ-A","NOT_VERIFIED","NOT_VERIFIED","FRV2-OVERLAP-RUNNER-PERIODIZATION-REVIEWS","Ten included articles; hard-day/easy-day periodization is indirect only; no direct cycle-length comparison. owner_target=9_5_DAY_AUTOMATED_PRESCRIPTION; runtime_authority=false"
"FRV2-A-002","Training-intensity Distribution on Middle- and Long-distance Runners: A Systematic Review","2022","SYSTEMATIC_REVIEW","10.1055/a-1559-3623","34749417","NOT_REPORTED","https://pubmed.ncbi.nlm.nih.gov/34749417/","ABSTRACT_ONLY","NOT_VERIFIED","Middle- and long-distance runners across observational, case, and intervention literature","Middle- and long-distance running","NOT_REPORTED","NOT_REPORTED","NOT_REPORTED","Mixed runner training status","RQ-A","CAPES Finance Code 001","NONE_DECLARED","FRV2-OVERLAP-RUNNER-PERIODIZATION-REVIEWS","Twenty articles; materially heterogeneous intensity-distribution classifications; no microcycle-length comparison. owner_target=9_5_DAY_AUTOMATED_PRESCRIPTION; runtime_authority=false"
"FRV2-A-003","Which Training Intensity Distribution Intervention Will Produce the Greatest Improvements in Maximal Oxygen Uptake and Time-Trial Performance in Endurance Athletes? A Systematic Review and Network Meta-analysis of Individual Participant Data","2025","SYSTEMATIC_REVIEW_NETWORK_META_ANALYSIS","10.1007/s40279-024-02149-3","39888556","NOT_REPORTED","https://pubmed.ncbi.nlm.nih.gov/39888556/","ABSTRACT_ONLY","NOT_VERIFIED","348 trained endurance athletes in 13 studies","Mixed endurance sports","Study means 17.6-41.5 years","296 male; 52 female","NOT_REPORTED","Recreational and competitive endurance athletes","RQ-A","NOT_VERIFIED","NOT_VERIFIED","FRV2-OVERLAP-ENDURANCE-TID-REVIEWS","No statistically significant polarized-versus-pyramidal difference in the abstract; not a cycle-length comparison. owner_target=9_5_DAY_AUTOMATED_PRESCRIPTION; runtime_authority=false"
"FRV2-A-004","Block Periodization of Endurance Training: A Systematic Review and Meta-analysis","2019","SYSTEMATIC_REVIEW_META_ANALYSIS","10.2147/OAJSM.S180408","31802956","PMC6802561","https://pmc.ncbi.nlm.nih.gov/articles/PMC6802561/","FULL_TEXT_VERIFIED","NOT_VERIFIED","Trained to well-trained endurance athletes across sports","Mixed endurance sports","NOT_REPORTED","NOT_REPORTED","NOT_REPORTED","Trained to well-trained","RQ-A","NOT_VERIFIED","NONE_DECLARED","FRV2-OVERLAP-ENDURANCE-PERIODIZATION-REVIEWS","Twenty eligible records and six pooled studies; small low-quality heterogeneous evidence; no 7-day versus nonweekly comparison. owner_target=9_5_DAY_AUTOMATED_PRESCRIPTION; runtime_authority=false"
"FRV2-A-005","A Systematic Review of Meta-Analyses Comparing Periodized and Non-periodized Exercise Programs: Why We Should Go Back to Original Research","2019","SYSTEMATIC_REVIEW_OF_META_ANALYSES","10.3389/fphys.2019.01023","31440169","PMC6692867","https://pmc.ncbi.nlm.nih.gov/articles/PMC6692867/","FULL_TEXT_VERIFIED","NOT_VERIFIED","Humans represented in periodization meta-analyses; underlying studies were strength training","Strength training","NOT_REPORTED","NOT_REPORTED","NOT_REPORTED","Mixed","RQ-A","NOT_VERIFIED","NOT_VERIFIED","FRV2-OVERLAP-PERIODIZATION-METHODOLOGY","No audited study tested varied nonperiodized comparators or accuracy of adaptation-timing predictions; running transfer is indirect. owner_target=9_5_DAY_AUTOMATED_PRESCRIPTION; runtime_authority=false"
"FRV2-A-006","Coaches' Perceptions of Common Planning Concepts Within Training Theory: An International Survey","2023","CROSS_SECTIONAL_COACH_SURVEY","10.1186/s40798-023-00657-6","37989900","PMC10663426","https://pmc.ncbi.nlm.nih.gov/articles/PMC10663426/","FULL_TEXT_VERIFIED","NOT_VERIFIED","106 coaches; 58% individual-sport coaches and 32% coaching international-level athletes","Multiple sports","18-65+ years","92% male; 8% female","NOT_APPLICABLE","Coaches of amateur through international athletes","RQ-A","Open Access funding enabled and organized by Projekt DEAL","NOT_VERIFIED","FRV2-OVERLAP-COACH-PLANNING-SURVEYS","Perceptions support revisable planning indirectly; no running subgroup, cycle prevalence, or outcome efficacy. owner_target=9_5_DAY_AUTOMATED_PRESCRIPTION; runtime_authority=false"
"FRV2-A-007","Best-Practice Training Characteristics Within Olympic Endurance Sports as Described by Norwegian World-Class Coaches","2025","DESCRIPTIVE_MULTIPLE_CASE_STUDY","10.1186/s40798-025-00848-3","40278987","PMC12031707","https://pmc.ncbi.nlm.nih.gov/articles/PMC12031707/","FULL_TEXT_VERIFIED","CURRENT_CROSSMARK","12 successful male Norwegian coaches across eight Olympic endurance sports","Long-distance running and seven other Olympic endurance sports","NOT_REPORTED","Male","NOT_APPLICABLE","World-class coach informants","RQ-A","Kristiania University College","NONE_DECLARED","FRV2-OVERLAP-ENDURANCE-COACH-CASE_STUDIES","Weekly organization remained explicit and pragmatic adjustments were reported; middle-distance events under six minutes were excluded. owner_target=9_5_DAY_AUTOMATED_PRESCRIPTION; runtime_authority=false"
"FRV2-A-008","The Training Characteristics of World-Class Distance Runners: An Integration of Scientific Literature and Results-Proven Practice","2022","NARRATIVE_REVIEW","10.1186/s40798-022-00438-7","35362850","PMC8975965","https://pmc.ncbi.nlm.nih.gov/articles/PMC8975965/","FULL_TEXT_VERIFIED","NOT_VERIFIED","World-class adult distance runners","5000 m; 10000 m; marathon","Adult","Mixed; not separately extracted","ADULT","World-class","RQ-A","NOT_VERIFIED","NOT_VERIFIED","FRV2-OVERLAP-RUNNER-PERIODIZATION-REVIEWS","Reports 11-14 sessions per week and typical training weeks; no nonweekly-frame comparison. owner_target=9_5_DAY_AUTOMATED_PRESCRIPTION; runtime_authority=false"
"FRV2-A-009","Training Quantification and Periodization During Live High Train High at 2100 m in Elite Runners: An Observational Cohort Case Study","2018","OBSERVATIONAL_COHORT_CASE_STUDY","NOT_ASSIGNED","30479529","PMC6243625","https://pmc.ncbi.nlm.nih.gov/articles/PMC6243625/","FULL_TEXT_VERIFIED","NOT_VERIFIED","Eight elite adult middle-distance runners","Middle-distance running","25 +/- 6 years","6 male; 2 female","ADULT","Elite and international","RQ-A","NOT_VERIFIED","NOT_VERIFIED","FRV2-OVERLAP-ALTITUDE-RUNNER-COHORTS","Typical training week with individual event and altitude adjustments; n=8 and no nonweekly comparator. owner_target=9_5_DAY_AUTOMATED_PRESCRIPTION; runtime_authority=false"
"FRV2-A-010","Chronic Glutamine Supplementation Increases Nasal but not Salivary IgA During 9 Days of Interval Training","2004","RANDOMIZED_SUPPLEMENT_PLACEBO_OVERLOAD_EXPERIMENT","10.1152/japplphysiol.00971.2003","15107413","NOT_REPORTED","https://journals.physiology.org/doi/full/10.1152/japplphysiol.00971.2003","FULL_TEXT_VERIFIED","NOT_VERIFIED","13 healthy adult runners","Recreational running overload study","18-49 years inclusion","9 male; 4 female","ADULT","Runners completing at least 20 miles per week and meeting VO2 criteria","RQ-A","NOT_VERIFIED","NOT_VERIFIED","FRV2-OVERLAP-EXACT-DURATION-FALSE-POSITIVES","A 9-9.5 consecutive-day overload exposure, not a recurring microcycle; exclude as frame evidence. owner_target=9_5_DAY_AUTOMATED_PRESCRIPTION; runtime_authority=false"
