source_id,title,year,source_type,doi,pmid,pmcid,url,full_text_state,correction_state,population,event,age_range,sex,maturity,training_status,rq_tags,funding,conflicts,overlap_group,notes
"FRV2-B-001","Serum oxidant and antioxidant status during early and late recovery periods following an all-out 21-km run in trained adolescent runners.","2010","PRIMARY_ACUTE_STUDY","10.1007/s00421-010-1583-7","20668873","NOT_APPLICABLE","https://pubmed.ncbi.nlm.nih.gov/20668873/","ABSTRACT_ONLY","NOT_VERIFIED","Trained adolescent runners","LONG_DISTANCE_RUNNING","16.2 +/- 0.6 y","MALE","NOT_REPORTED","TRAINED","RQ-B","NOT_VERIFIED","NOT_VERIFIED","NOT_VERIFIED","Direct adolescent-runner biochemical time course; all-out 21 km; 2 h 4 h 24 h; not middle-distance direct."
"FRV2-B-002","Renal function parameters during early and late recovery periods following an all-out 21-km run in trained adolescent runners.","2011","PRIMARY_ACUTE_STUDY","10.1515/CCLM.2011.172","21466418","NOT_APPLICABLE","https://pubmed.ncbi.nlm.nih.gov/21466418/","ABSTRACT_ONLY","NOT_VERIFIED","Trained adolescent runners","LONG_DISTANCE_RUNNING","16.2 +/- 0.6 y","MALE","NOT_REPORTED","TRAINED","RQ-B","NOT_VERIFIED","NOT_VERIFIED","NOT_VERIFIED","Direct adolescent-runner biochemical time course; all-out 21 km; 2 h 4 h 24 h; no clearance inference."
"FRV2-B-003","Effect of Long-Duration Adventure Races on Cardiac Damage Biomarker Release and Muscular Function in Young Athletes.","2020","PRIMARY_ACUTE_STUDY","10.3389/fphys.2020.00010","32116738","PMC7012902","https://pmc.ncbi.nlm.nih.gov/articles/PMC7012902/","FULL_TEXT_VERIFIED","NOT_VERIFIED","Trained adolescent multi-sport endurance athletes","ADVENTURE_RACING","14-15 y","MALE","NOT_REPORTED","TRAINED","RQ-B","NOT_VERIFIED","NOT_VERIFIED","NOT_VERIFIED","Youth indirect; 1-day and 2-day mixed-modality races; marker-specific 24-72 h time course."
"FRV2-B-004","Isometric Posterior Chain Peak Force Recovery Response Following Match-Play in Elite Youth Soccer Players: Associations with Relative Posterior Chain Strength.","2019","PRIMARY_ACUTE_STUDY","10.3390/sports7100218","31581584","PMC6835616","https://pmc.ncbi.nlm.nih.gov/articles/PMC6835616/","FULL_TEXT_VERIFIED","NOT_VERIFIED","Elite youth soccer players","SOCCER_MATCH","16 +/- 2 y","NOT_REPORTED","NOT_REPORTED","ELITE_YOUTH","RQ-B","NOT_VERIFIED","NOT_VERIFIED","NOT_VERIFIED","Youth athlete indirect; force at post 24 h 48 h 72 h; no subsequent training; large individual variability."
"FRV2-B-005","Static stretching does not enhance recovery in elite youth soccer players.","2017","PRIMARY_ACUTE_CROSSOVER_STUDY","10.1136/bmjsem-2016-000202","28761702","PMC5530097","https://pmc.ncbi.nlm.nih.gov/articles/PMC5530097/","FULL_TEXT_VERIFIED","NOT_VERIFIED","Elite youth academy soccer players","SOCCER_MATCH","16 +/- 1 y","MALE","NOT_REPORTED","ELITE_YOUTH","RQ-B","NOT_VERIFIED","NOT_VERIFIED","NOT_VERIFIED","Youth athlete indirect; static-stretch versus passive recovery; pre post 48 h; intervention confounds natural kinetics."
"FRV2-B-006","Recovery Patterns of Low-frequency Fatigue in Elite Youth Soccer Players after Official Matches.","2025","PRIMARY_ACUTE_STUDY","10.1055/a-2456-2151","39472024","NOT_APPLICABLE","https://pubmed.ncbi.nlm.nih.gov/39472024/","ABSTRACT_ONLY","NOT_VERIFIED","Elite youth soccer players","SOCCER_MATCH","17.13 +/- 0.70 y","MALE","NOT_REPORTED","ELITE_YOUTH","RQ-B","NOT_VERIFIED","NOT_VERIFIED","NOT_VERIFIED","Youth athlete indirect; objective and subjective outcomes diverge at 24-48 h."
"FRV2-B-007","Post-Match Recovery Responses in Italian Serie A Youth Soccer Players: Effects of Manipulating Training Load 48 h After Match Play.","2025","PRIMARY_RANDOMIZED_STUDY","10.1002/ejsc.12297","40254901","PMC12010046","https://pmc.ncbi.nlm.nih.gov/articles/PMC12010046/","FULL_TEXT_VERIFIED","NOT_VERIFIED","Italian Serie A youth soccer players","SOCCER_MATCH_AND_TRAINING","NOT_REPORTED","NOT_REPORTED","NOT_REPORTED","ELITE_YOUTH","RQ-B","NOT_VERIFIED","NOT_VERIFIED","NOT_VERIFIED","Youth athlete indirect; complete versus reduced training at 48 h; 72-h state includes intervening load."
"FRV2-B-008","Impact of post-match fatigue on peak force in elite youth soccer players: Analysis of 48 to 72 hours post-match using the isometric mid-thigh pull exercise.","2025","PRIMARY_LONGITUDINAL_STUDY","10.5114/biolsport.2025.150044","41048235","PMC12490303","https://pmc.ncbi.nlm.nih.gov/articles/PMC12490303/","FULL_TEXT_VERIFIED","NOT_VERIFIED","U19 and U23 elite soccer players","SOCCER_MATCH_AND_TRAINING","U19/U23","NOT_REPORTED","NOT_REPORTED","ELITE_YOUTH_AND_YOUNG_ADULT","RQ-B","NOT_VERIFIED","NOT_VERIFIED","NOT_VERIFIED","Youth/young-adult indirect; IMTP force at 48 h and 72 h; intervening MD+2 load prevents match-only inference."
"FRV2-B-009","Acute effects of strength training interventions on subjective, neuromuscular, and biochemical fatigue parameters in elite youth soccer players.","2026","PRIMARY_CROSSOVER_STUDY","10.3389/fspor.2026.1742295","41858994","PMC12996250","https://pmc.ncbi.nlm.nih.gov/articles/PMC12996250/","FULL_TEXT_VERIFIED","NOT_VERIFIED","Elite U17 and U19 soccer players","RESISTANCE_AND_PLYOMETRIC_TRAINING","16.5 +/- 0.7 y","MALE","NOT_REPORTED","ELITE_YOUTH_LIMITED_STRUCTURED_STRENGTH_EXPERIENCE","RQ-B","NOT_VERIFIED","NOT_VERIFIED","NOT_VERIFIED","Youth athlete indirect; fixed-order crossover; selected markers at 24 h 48 h 72 h; no safety inference."
"FRV2-B-010","Youths Are Less Susceptible to Exercise-Induced Muscle Damage Than Adults: A Systematic Review With Meta-Analysis.","2024","SYSTEMATIC_REVIEW_META_ANALYSIS","10.1123/pes.2023-0108","38065086","NOT_APPLICABLE","https://pubmed.ncbi.nlm.nih.gov/38065086/","ABSTRACT_ONLY","NOT_VERIFIED","Youth and adult participants","EXERCISE_INDUCED_MUSCLE_DAMAGE","YOUTH_AND_ADULT","MIXED_OR_NOT_VERIFIED","NOT_VERIFIED","MIXED","RQ-B","NOT_VERIFIED","NOT_VERIFIED","NOT_VERIFIED","Youth indirect review; peak strength soreness and CK effects beyond 24 h; not a session-specific interval study."
"FRV2-B-011","National-Standard Middle-Distance Runners Maintain 1500 m Time Trial Running Performance on Successive Days.","2026","PRIMARY_ACUTE_REPEATED_TRIAL","10.1002/ejsc.70142","41667403","PMC12890468","https://pmc.ncbi.nlm.nih.gov/articles/PMC12890468/","FULL_TEXT_VERIFIED","NOT_VERIFIED","National-standard middle-distance runners","MIDDLE_DISTANCE_RUNNING","27 +/- 7 y","10 MALE; 2 FEMALE","NOT_APPLICABLE","NATIONAL_STANDARD","RQ-B","NOT_VERIFIED","NOT_VERIFIED","NOT_VERIFIED","Runner direct but adult; two treadmill 1500-m trials 24 h apart; performance-specific counterevidence only."
"FRV2-B-012","Gait and Neuromuscular Changes Are Evident in Some Masters Club Level Runners 24-h After Interval Training Run.","2022","PRIMARY_ACUTE_STUDY","10.3389/fspor.2022.830278","35721873","PMC9201250","https://pmc.ncbi.nlm.nih.gov/articles/PMC9201250/","FULL_TEXT_VERIFIED","NOT_VERIFIED","Recreational masters club runners","RUNNING_HIIT","MASTERS; EXACT_RANGE_NOT_VERIFIED","10 MALE; 10 FEMALE","NOT_APPLICABLE","RECREATIONAL_CLUB","RQ-B","NOT_VERIFIED","NOT_VERIFIED","NOT_VERIFIED","Runner direct but adult masters; six 800-m intervals; gait force and neuromuscular outcomes at post and 24 h."
"FRV2-B-013","Kinetics of recovery and normalization of running biomechanics following aerobic-based exercise-induced muscle damage in recreational male runners.","2025","PRIMARY_ACUTE_STUDY","10.1016/j.jsams.2025.01.002","39863478","NOT_APPLICABLE","https://pubmed.ncbi.nlm.nih.gov/39863478/","ABSTRACT_ONLY","NOT_VERIFIED","Recreational runners","DOWNHILL_RUNNING","ADULT","MALE","NOT_APPLICABLE","RECREATIONAL","RQ-B","NOT_VERIFIED","NOT_VERIFIED","NOT_VERIFIED","Runner direct but adult; 60-min downhill run; gait CK pain and MRI at post 24 h 48 h."
"FRV2-B-014","Neuromuscular, biomechanical, and energetic adjustments following repeated bouts of downhill running.","2022","PRIMARY_REPEATED_BOUT_STUDY","10.1016/j.jshs.2021.06.001","34098176","PMC9189713","https://pmc.ncbi.nlm.nih.gov/articles/PMC9189713/","FULL_TEXT_VERIFIED","NOT_VERIFIED","Recreational runners","DOWNHILL_RUNNING","ADULT","MALE","NOT_APPLICABLE","RECREATIONAL","RQ-B","NOT_VERIFIED","NOT_VERIFIED","NOT_VERIFIED","Runner direct but adult; two downhill bouts; post 24 h 48 h 72 h 96 h 168 h; explicit soreness beyond 72 h."
"FRV2-B-015","Recovery kinetics following sprint training: resisted versus unresisted sprints.","2024","PRIMARY_RANDOMIZED_CROSSOVER_STUDY","10.1007/s00421-023-05317-x","37776346","PMC10879260","https://pmc.ncbi.nlm.nih.gov/articles/PMC10879260/","FULL_TEXT_VERIFIED","NOT_VERIFIED","Competitive sprinters long jumpers and soccer players","SPRINT_TRAINING","18-26 y","MIXED","NOT_APPLICABLE","COMPETITIVE","RQ-B","NOT_VERIFIED","NOT_VERIFIED","NOT_VERIFIED","Sprint-trained adult indirect; unresisted versus 10% and 20% body-mass resisted sprints; 24 h 48 h 72 h."
"FRV2-B-016","Time course of changes in performance and inflammatory responses after acute plyometric exercise.","2010","PRIMARY_RANDOMIZED_STUDY","10.1519/JSC.0b013e3181d1d318","20386477","NOT_APPLICABLE","https://pubmed.ncbi.nlm.nih.gov/20386477/","ABSTRACT_ONLY","NOT_VERIFIED","Exercise and resting control participants","PLYOMETRIC_EXERCISE","NOT_VERIFIED","NOT_VERIFIED","NOT_REPORTED","NOT_VERIFIED","RQ-B","NOT_VERIFIED","NOT_VERIFIED","NOT_VERIFIED","Indirect; intense plyometric bout; post 24 h 48 h 72 h 96 h 120 h; participant details limited in abstract."
"FRV2-B-017","The acute effect of a multi-modal plyometric training session on field-specific performance measures.","2021","PRIMARY_ACUTE_STUDY","10.23736/S0022-4707.20.11603-7","34296839","NOT_APPLICABLE","https://pubmed.ncbi.nlm.nih.gov/34296839/","ABSTRACT_ONLY","NOT_VERIFIED","Competitive Ultimate Frisbee players","COMBINED_PLYOMETRIC_RESISTANCE","NOT_VERIFIED","NOT_VERIFIED","NOT_REPORTED","COMPETITIVE","RQ-B","NOT_VERIFIED","NOT_VERIFIED","NOT_VERIFIED","Indirect; n=9; combined session; performance soreness and CK at 24 h and 48 h."
"FRV2-B-018","Neuromuscular and autonomic function is fully recovered within 24 h following a sprint interval training session.","2023","PRIMARY_ACUTE_STUDY","10.1007/s00421-023-05249-6","37285051","NOT_APPLICABLE","https://pubmed.ncbi.nlm.nih.gov/37285051/","ABSTRACT_ONLY","NOT_VERIFIED","Healthy adults","CYCLING_SIT","ADULT","NOT_VERIFIED","NOT_APPLICABLE","HEALTHY","RQ-B","NOT_VERIFIED","NOT_VERIFIED","NOT_VERIFIED","Indirect cycling; title wording retained only as bibliographic identity; selected 24 h and 48 h markers cannot establish complete recovery."
"FRV2-B-019","Time Course of Recovery after Cycling Repeated Sprints.","2021","PRIMARY_RANDOMIZED_REPEATED_SESSION_STUDY","10.1249/MSS.0000000000002482","33300757","NOT_APPLICABLE","https://pubmed.ncbi.nlm.nih.gov/33300757/","ABSTRACT_ONLY","NOT_VERIFIED","Adult participants","CYCLING_REPEATED_SPRINTS","ADULT","NOT_VERIFIED","NOT_APPLICABLE","NOT_VERIFIED","RQ-B","NOT_VERIFIED","NOT_VERIFIED","NOT_VERIFIED","Indirect cycling; repeated sessions separated by 24 h or 48 h; performance and neuromuscular markers disagree at 24 h."
"FRV2-B-020","Acute effects of exercise-induced muscle damage on sprint and change of direction performance: A systematic review and meta-analysis.","2024","SYSTEMATIC_REVIEW_META_ANALYSIS","10.5114/biolsport.2024.131823","38952917","PMC11167466","https://pmc.ncbi.nlm.nih.gov/articles/PMC11167466/","FULL_TEXT_VERIFIED","NOT_VERIFIED","Healthy adults and adolescents","RESISTANCE_AND_PLYOMETRIC_EIMD","ADOLESCENT_AND_ADULT","MIXED","NOT_VERIFIED","MIXED","RQ-B","NOT_VERIFIED","NOT_VERIFIED","NOT_VERIFIED","Indirect review; 20 studies; sprint COD CMJ CK and DOMS through 72 h; high heterogeneity."
"FRV2-B-021","Monitoring the Athlete Match Response: Can External Load Variables Predict Post-match Acute and Residual Fatigue in Soccer? A Systematic Review with Meta-analysis.","2019","SYSTEMATIC_REVIEW_META_ANALYSIS","10.1186/s40798-019-0219-7","31820260","PMC6901634","https://pmc.ncbi.nlm.nih.gov/articles/PMC6901634/","FULL_TEXT_VERIFIED","NOT_VERIFIED","Soccer players","SOCCER_MATCH","NOT_VERIFIED","NOT_VERIFIED","NOT_VERIFIED","COMPETITIVE_SOCCER","RQ-B","NOT_VERIFIED","NOT_VERIFIED","NOT_VERIFIED","Indirect review; 11 studies n=165; external load associations mainly at acute and 24 h not 48-72 h."
"FRV2-B-022","Postmatch recovery of physical performance and biochemical markers in team ball sports: a systematic review.","2018","SYSTEMATIC_REVIEW","10.1136/bmjsem-2017-000264","29527320","PMC5841509","https://pubmed.ncbi.nlm.nih.gov/29527320/","ABSTRACT_ONLY","NOT_VERIFIED","Team ball-sport players","TEAM_SPORT_MATCH","NOT_VERIFIED","NOT_VERIFIED","NOT_VERIFIED","COMPETITIVE_TEAM_SPORT","RQ-B","NOT_VERIFIED","NOT_VERIFIED","NOT_VERIFIED","Indirect review; 28 studies; performance and biochemical time courses to 144 h; full text available but not inspected in this extraction."
