source_id,title,year,source_type,doi,pmid,pmcid,url,full_text_state,correction_state,population,event,age_range,sex,maturity,training_status,rq_tags,funding,conflicts,overlap_group,notes
"FRV2-C-001","Effect of complex training on lower limb strength and running economy in adolescent distance runners","2025","CONTROLLED_TRAINING_TRIAL","10.3389/fphys.2025.1718150","41312139","PMC12646903","https://pmc.ncbi.nlm.nih.gov/articles/PMC12646903/","FULL_TEXT_VERIFIED","PUBMED_METADATA_NO_NOTICE_FOUND_2026-07-17","32 post-pubertal male provincial distance runners","800-3000_M_RUNNING","16.75 +/- 0.68 years","MALE","POST_PUBERTAL_STATED;ASSESSMENT_METHOD_NOT_REPORTED","At least 3 years systematic training; at least 35 km/week","RQ-C","FUNDING_DECLARED;SEE_SOURCE","NONE_DECLARED","FRV2-OVERLAP-YOUTH-CONCURRENT-PRIMARY","Heavy resistance preceded matched plyometrics with 3-4 min recovery; endurance placement was not reported; no universal sequence inference."
"FRV2-C-002","Effects of Strength Training on Postpubertal Adolescent Distance Runners","2018","CONTROLLED_TRAINING_TRIAL","10.1249/MSS.0000000000001543","29315164","NOT_REPORTED","https://pubmed.ncbi.nlm.nih.gov/29315164/","ABSTRACT_ONLY","PUBMED_METADATA_NO_NOTICE_FOUND_2026-07-17","25 postpubertal adolescent distance runners enrolled; 18 completed","DISTANCE_RUNNING","17.2 +/- 1.2 years at enrollment","13 female at enrollment; remaining male","POST_PUBERTAL_STATED;ASSESSMENT_METHOD_NOT_VERIFIED","Trained adolescent distance runners","RQ-C","NOT_VERIFIED","NOT_VERIFIED","FRV2-OVERLAP-YOUTH-CONCURRENT-PRIMARY","Twice-weekly plyometric sprint and resistance work supported economy and strength signals; sequence and running separation were not reported in the abstract."
"FRV2-C-003","Concurrent endurance and explosive type strength training improves neuromuscular and anaerobic characteristics in young distance runners","2007","CONTROLLED_TRAINING_TRIAL","10.1055/s-2007-964849","17373596","NOT_REPORTED","https://pubmed.ncbi.nlm.nih.gov/17373596/","ABSTRACT_ONLY","PUBMED_METADATA_NO_NOTICE_FOUND_2026-07-17","25 young trained distance runners","DISTANCE_RUNNING","16-18 years","NOT_REPORTED","NOT_REPORTED","Trained youth distance runners","RQ-C","NOT_VERIFIED","NOT_VERIFIED","FRV2-OVERLAP-YOUTH-CONCURRENT-PRIMARY","Nineteen percent of endurance training was replaced by explosive work; speed improved while VO2max and economy were unchanged; scheduling was not reported."
"FRV2-C-004","A preliminary investigation into concurrent aerobic and resistance training in youth runners","2015","PAIR_MATCHED_CONTROLLED_TRIAL","10.3233/IES-150567","NOT_ASSIGNED","NOT_REPORTED","https://doi.org/10.3233/IES-150567","ABSTRACT_ONLY","NOT_VERIFIED","12 competitive youth runners pair-matched by maturity and 3 km performance","3_KM_RUNNING","10-13 years reported in secondary review","6 male; 6 female","PAIR_MATCHED_BY_MATURITY;METHOD_NOT_VERIFIED","Competitive youth runners","RQ-C","NOT_VERIFIED","NOT_VERIFIED","FRV2-OVERLAP-YOUTH-CONCURRENT-PRIMARY","Tiny null/adverse signal; resistance frequency conflicts between abstract and review table; order and separation remain unresolved."
"FRV2-C-005","Efficacy of depth jumps to elicit a post-activation performance enhancement in junior endurance runners","2019","RANDOMIZED_CROSSOVER_TRIAL","10.1016/j.jsams.2018.07.023","30107984","NOT_REPORTED","https://pubmed.ncbi.nlm.nih.gov/30107984/","ABSTRACT_ONLY","PUBMED_METADATA_NO_NOTICE_FOUND_2026-07-17","17 national or international male junior middle-distance runners","MIDDLE_DISTANCE_RUNNING","17.6 +/- 1.2 years","MALE","NOT_REPORTED","National or international junior runners; VO2max 70.7 +/- 5.2","RQ-C","NOT_VERIFIED","NOT_VERIFIED","NONE_IDENTIFIED","Six depth jumps followed by 10 min passive recovery improved acute running economy but not time to exhaustion; chronic scheduling transfer is unsupported."
"FRV2-C-006","The Effects of Concurrent Strength and Endurance Training on Physical Fitness and Athletic Performance in Youth: A Systematic Review and Meta-Analysis","2018","SYSTEMATIC_REVIEW_META_ANALYSIS","10.3389/fphys.2018.01057","30131714","PMC6090054","https://pmc.ncbi.nlm.nih.gov/articles/PMC6090054/","FULL_TEXT_VERIFIED","PUBMED_METADATA_NO_NOTICE_FOUND_2026-07-17","518 youth across 15 studies; 11 youth endurance-athlete studies","SWIMMING;RUNNING;ROWING;MULTI_SPORT","10.7-18.2 years","268 male; 250 female","NOT_STANDARDIZED_ACROSS_STUDIES","Youth athletes and non-athletes","RQ-C","NOT_VERIFIED","NOT_VERIFIED","FRV2-OVERLAP-YOUTH-CONCURRENT-PRIMARY","Small athletic-performance effect but null cardiorespiratory and economy effects; sequence and separation were not meta-analyzed."
"FRV2-C-007","Effects of complex training versus heavy resistance training on neuromuscular adaptation, running economy and 5-km performance in well-trained distance runners","2019","MATCHED_CONTROLLED_TRAINING_TRIAL","10.7717/peerj.6787","31086736","PMC6487184","https://pmc.ncbi.nlm.nih.gov/articles/PMC6487184/","FULL_TEXT_VERIFIED","PUBMED_METADATA_NO_NOTICE_FOUND_2026-07-17","28 well-trained male collegiate distance runners","5_KM_RUNNING;DISTANCE_RUNNING","19-23 years","MALE","ADULT_OR_YOUNG_ADULT","At least 4 years training; VO2max 65.78 +/- 4.99","RQ-C","NOT_VERIFIED","NOT_VERIFIED","FRV2-OVERLAP-RUNNER-STRENGTH-REVIEWS","Morning endurance and afternoon strength plus heavy-to-plyometric complex pairs improved several outcomes; AM-PM hours and reverse order were not tested."
"FRV2-C-008","Effects of plyometric training on endurance and explosive strength performance in competitive middle- and long-distance runners","2014","RANDOMIZED_CONTROLLED_TRIAL","10.1519/JSC.0b013e3182a1f44c","23838975","NOT_REPORTED","https://pubmed.ncbi.nlm.nih.gov/23838975/","ABSTRACT_ONLY","PUBMED_METADATA_NO_NOTICE_FOUND_2026-07-17","36 highly competitive middle- and long-distance runners","2.4_KM_RUNNING;MIDDLE_AND_LONG_DISTANCE_RUNNING","NOT_REPORTED","BOTH","NOT_REPORTED","Highly competitive runners","RQ-C","NOT_VERIFIED","NOT_VERIFIED","FRV2-OVERLAP-RUNNER-STRENGTH-REVIEWS","Six weeks of added plyometrics improved 2.4 km sprint and jump outcomes; shared-day placement was not verified."
"FRV2-C-009","Effect of concurrent strength and endurance training on run performance and biomechanics in recreational runners","2022","RANDOMIZED_CONTROLLED_TRIAL","10.1111/sms.14092","34767655","NOT_REPORTED","https://pubmed.ncbi.nlm.nih.gov/34767655/","ABSTRACT_ONLY","PUBMED_METADATA_NO_NOTICE_FOUND_2026-07-17","30 moderately trained distance runners inexperienced in strength training","2_KM_RUNNING;TIME_TO_EXHAUSTION","Approximately 33-34 years","NOT_REPORTED","ADULT","At least 30 km/week; moderately trained","RQ-C","NOT_VERIFIED","NOT_VERIFIED","FRV2-OVERLAP-RUNNER-STRENGTH-REVIEWS","Concurrent training improved 2 km time and time to exhaustion; strength dose sequence and separation were unavailable in the abstract."
"FRV2-C-010","Concurrent speed endurance and resistance training improves performance, running economy, and muscle NHE1 in moderately trained runners","2014","CONTROLLED_TRAINING_TRIAL","10.1152/japplphysiol.01226.2013","25190744","NOT_REPORTED","https://pubmed.ncbi.nlm.nih.gov/25190744/","FULL_TEXT_VERIFIED","PUBMED_METADATA_NO_NOTICE_FOUND_2026-07-17","23 moderately trained male runners","1500_M_RUNNING;10_KM_RUNNING","Mean 31.1 years","MALE","ADULT","Approximately 7.5 years running; 29.7 km/week","RQ-C","NOT_VERIFIED","NOT_VERIFIED","NONE_IDENTIFIED","Speed endurance preceded heavy resistance in the same session while running volume was reduced; outcomes improved but reverse order was not tested."
