source_id,title,year,source_type,doi,pmid,pmcid,url,full_text_state,correction_state,population,event,age_range,sex,maturity,training_status,rq_tags,funding,conflicts,overlap_group,notes
"FRV2-D-001","Monitoring Athlete Training Loads: Consensus Statement","2017","CONSENSUS_STATEMENT","10.1123/IJSPP.2017-0208","28463642","NOT_APPLICABLE","https://pubmed.ncbi.nlm.nih.gov/28463642/","ABSTRACT_ONLY","NOT_VERIFIED","Athletes across sports","MULTI_SPORT","NOT_REPORTED","NOT_REPORTED","NOT_REPORTED","Mixed athlete populations","RQ-D","NOT_VERIFIED","NOT_VERIFIED","NONE_IDENTIFIED","Expert framework supports separate internal and external load taxonomy; no youth middle-distance validation or universal total."
"FRV2-D-002","Internal and External Training Load: 15 Years On","2019","COMMENTARY","10.1123/ijspp.2018-0935","30614348","NOT_APPLICABLE","https://pubmed.ncbi.nlm.nih.gov/30614348/","ABSTRACT_ONLY","NOT_VERIFIED","Exercise-training populations generally","MULTI_SPORT","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","General training framework","RQ-D","NOT_VERIFIED","NOT_VERIFIED","NONE_IDENTIFIED","Conceptual two-component framework; supports family identity but is not a validation study."
"FRV2-D-003","A new approach to monitoring exercise training","2001","COMPARATIVE_STUDY","10.1519/00124278-200102000-00019","11708692","NOT_APPLICABLE","https://pubmed.ncbi.nlm.nih.gov/11708692/","ABSTRACT_ONLY","NOT_VERIFIED","Cycling participants and basketball players","CYCLING_AND_BASKETBALL","NOT_REPORTED","NOT_REPORTED","NOT_REPORTED","Exercise participants; exact composition not verified","RQ-D","NOT_VERIFIED","NOT_VERIFIED","NONE_IDENTIFIED","Session-RPE related consistently to HR-based scores but absolute values differed; methods are not numerically interchangeable."
"FRV2-D-004","The Validation of Session Rating of Perceived Exertion for Quantifying Internal Training Load in Adolescent Distance Runners","2019","OBSERVATIONAL_VALIDATION_STUDY","10.1123/ijspp.2018-0120","30160557","NOT_APPLICABLE","https://pubmed.ncbi.nlm.nih.gov/30160557/","ABSTRACT_ONLY","NOT_VERIFIED","15 adolescent distance runners","DISTANCE_RUNNING","NOT_REPORTED; mean 15.2 +/- 1.6 y","BOTH; exact counts not reported in abstract","NOT_REPORTED","Adolescent distance runners","RQ-D","NOT_VERIFIED","NOT_VERIFIED","NONE_IDENTIFIED","Direct timing evidence: 30-minute sRPE was 26.5% lower than immediate sRPE; timing is part of method identity."
"FRV2-D-005","Session-RPE Method for Training Load Monitoring: Validity, Ecological Usefulness, and Influencing Factors","2017","REVIEW","10.3389/fnins.2017.00612","29163016","PMC5673663","https://pmc.ncbi.nlm.nih.gov/articles/PMC5673663/","ABSTRACT_ONLY","NOT_VERIFIED","Athletes across sex age level and sport","MULTI_SPORT","CHILD_TO_ADULT","BOTH","NOT_REPORTED","Mixed competition levels","RQ-D","NOT_VERIFIED","NOT_VERIFIED","NONE_IDENTIFIED","Review identified 36 modified-CR10 validation and reliability studies; heterogeneity limits direct youth runner transfer."
"FRV2-D-006","Comparison of RPE (Rating of Perceived Exertion) Scales for Session RPE","2019","COMPARATIVE_VALIDATION_STUDY","10.1123/ijspp.2018-0637","30569764","NOT_APPLICABLE","https://pubmed.ncbi.nlm.nih.gov/30569764/","ABSTRACT_ONLY","NOT_VERIFIED","Recreational systematically training athletes across sports","MULTI_SPORT_INTERVAL_EXERCISE","NOT_REPORTED","NOT_REPORTED","NOT_REPORTED","Recreational trained","RQ-D","NOT_VERIFIED","NOT_VERIFIED","NONE_IDENTIFIED","CR10 and Borg 6-20 sRPE correlated r=.90 but produced different absolute values; scale ID and anchors must persist."
"FRV2-D-007","25 Years of Session Rating of Perceived Exertion: Historical Perspective and Development","2021","NARRATIVE_REVIEW","10.1123/ijspp.2020-0599","33508782","NOT_APPLICABLE","https://pubmed.ncbi.nlm.nih.gov/33508782/","ABSTRACT_ONLY","NOT_VERIFIED","Patients through elite athletes across exercise modes","MULTI_SPORT","CHILD_TO_ADULT","BOTH","NOT_REPORTED","Mixed training status","RQ-D","NOT_VERIFIED","Method developers among authors","NONE_IDENTIFIED","Defines sRPE as an entire-session average internal response; does not validate allocation to session components."
"FRV2-D-008","Relation between individualized training impulses and performance in distance runners","2009","LONGITUDINAL_METHOD_STUDY","10.1249/MSS.0b013e3181a6a959","19812506","NOT_APPLICABLE","https://pubmed.ncbi.nlm.nih.gov/19812506/","ABSTRACT_ONLY","NOT_VERIFIED","8 recreational long-distance runners","DISTANCE_RUNNING","NOT_REPORTED; mean 39.9 +/- 6.5 y","NOT_REPORTED","NOT_REPORTED","Recreational long-distance runners","RQ-D","NOT_VERIFIED","NOT_VERIFIED","NONE_IDENTIFIED","Individualized HR-lactate TRIMPi related to outcomes when group-average weighting did not; method identity and individual thresholds are required."
"FRV2-D-009","Do Training Load Metrics Agree? A Comparison of Session Rate of Perceived Exertion, Physiological and Biomechanical Load in Outdoor Running","2026","PRIMARY_COMPARATIVE_STUDY","10.1186/s40798-025-00969-9","41758294","PMC12949214","https://pmc.ncbi.nlm.nih.gov/articles/PMC12949214/","ABSTRACT_ONLY","NOT_VERIFIED","12 experienced runners","OUTDOOR_RUNNING","NOT_REPORTED","NOT_REPORTED","NOT_REPORTED","Experienced runners","RQ-D","NOT_VERIFIED","NOT_VERIFIED","NONE_IDENTIFIED","sRPE TRIMP and biomechanical load correlations were weak to moderate across three session types; separate measures must not be summed as one currency."
"FRV2-D-010","Concurrent validity and reliability of the session rating of perceived exertion scale among high-trained rower during training sessions","2025","LONGITUDINAL_VALIDATION_STUDY","10.1186/s13102-025-01247-7","40646576","PMC12247353","https://pmc.ncbi.nlm.nih.gov/articles/PMC12247353/","ABSTRACT_ONLY","NOT_VERIFIED","30 professional rowers","ROWING","NOT_REPORTED","NOT_REPORTED","NOT_REPORTED","Professional rowers","RQ-D","NOT_VERIFIED","NOT_VERIFIED","NONE_IDENTIFIED","sRPE-TRIMP correlation varied from .811 in ergometer work to .258 in functional training; validity is modality-specific."
