source_id,title,year,source_type,doi,pmid,pmcid,url,full_text_state,correction_state,population,event,age_range,sex,maturity,training_status,rq_tags,funding,conflicts,overlap_group,notes
"FRV2-E-001","Statistical methods for assessing measurement error (reliability) in variables relevant to sports medicine",1998,"METHODOLOGICAL_REVIEW","10.2165/00007256-199826040-00002","9820922","","https://pubmed.ncbi.nlm.nih.gov/9820922/","ABSTRACT_ONLY","NO_CORRECTION_OR_RETRACTION_FLAG_IN_PUBMED_AS_OF_2026-07-17","sports medicine measurement populations","test-retest reliability and measurement error","NOT_REPORTED","NOT_REPORTED","NOT_REPORTED","MIXED_OR_NOT_REPORTED","RQ-E","NOT_EXTRACTED_IN_RQ_E_SEARCH","NOT_EXTRACTED_IN_RQ_E_SEARCH","MEASUREMENT_RELIABILITY_METHODS","Separates bias and random error; CV SEM and limits of agreement require protocol-specific scale assumptions; supports error-aware level-3 claims only."
"FRV2-E-002","Measures of reliability in sports medicine and science",2000,"METHODOLOGICAL_REVIEW","10.2165/00007256-200030010-00001","10907753","","https://pubmed.ncbi.nlm.nih.gov/10907753/","ABSTRACT_ONLY","NO_CORRECTION_OR_RETRACTION_FLAG_IN_PUBMED_AS_OF_2026-07-17","sports medicine and sport science populations","repeated-trial reliability","NOT_REPORTED","NOT_REPORTED","NOT_REPORTED","MIXED_OR_NOT_REPORTED","RQ-E","NOT_EXTRACTED_IN_RQ_E_SEARCH","NOT_EXTRACTED_IN_RQ_E_SEARCH","MEASUREMENT_RELIABILITY_METHODS","Typical-error framework; study-level reliability sample guidance is not a universal within-athlete baseline count."
"FRV2-E-003","Quantifying test-retest reliability using the intraclass correlation coefficient and the SEM",2005,"METHODS_TUTORIAL","10.1519/15184.1","15705040","","https://pubmed.ncbi.nlm.nih.gov/15705040/","ABSTRACT_ONLY","NO_CORRECTION_OR_RETRACTION_FLAG_IN_PUBMED_AS_OF_2026-07-17","test-retest measurement populations","ICC and SEM estimation","NOT_REPORTED","NOT_REPORTED","NOT_REPORTED","NOT_REPORTED","RQ-E","NOT_EXTRACTED_IN_RQ_E_SEARCH","NOT_EXTRACTED_IN_RQ_E_SEARCH","MEASUREMENT_RELIABILITY_METHODS","ICC model and SEM calculation provenance are required; MDC confidence level must be explicit."
"FRV2-E-004","Validity, reliability and sensitivity of measures of sporting performance",2008,"SPORTS_MEASUREMENT_REVIEW","10.2165/00007256-200838040-00003","18348590","","https://pubmed.ncbi.nlm.nih.gov/18348590/","ABSTRACT_ONLY","NO_CORRECTION_OR_RETRACTION_FLAG_IN_PUBMED_AS_OF_2026-07-17","athletes and sporting-performance tests","sport performance testing","NOT_REPORTED","NOT_REPORTED","NOT_REPORTED","MIXED_OR_NOT_REPORTED","RQ-E","NOT_EXTRACTED_IN_RQ_E_SEARCH","NOT_EXTRACTED_IN_RQ_E_SEARCH","MEASUREMENT_RELIABILITY_METHODS","Validity reliability and sensitivity are separate; a reliable proxy cannot support a claim if it does not represent the target construct."
"FRV2-E-005","Consensus on measurement properties and feasibility of performance tests for the exercise and sport sciences: a Delphi study",2017,"DELPHI_CONSENSUS","10.1186/s40798-016-0071-y","28054257","PMC5215201","https://pmc.ncbi.nlm.nih.gov/articles/PMC5215201/","FULL_TEXT_VERIFIED","NO_CORRECTION_OR_RETRACTION_FLAG_IN_PUBMED_AS_OF_2026-07-17","33 exercise and sport science experts","performance-test property and feasibility appraisal","ADULT_EXPERTS","MIXED","NOT_APPLICABLE","EXPERT_PANEL","RQ-E","NOT_EXTRACTED_IN_RQ_E_SEARCH","NOT_EXTRACTED_IN_RQ_E_SEARCH","MEASUREMENT_PROPERTY_CONSENSUS","Taxonomy covers validity reliability responsiveness interpretability and feasibility; consensus does not validate a specific metric or set a universal n."
"FRV2-E-006","A Statistical Framework to Interpret Individual Response to Intervention: Paving the Way for Personalized Nutrition and Exercise Prescription",2018,"APPLIED_STATISTICAL_FRAMEWORK","10.3389/fnut.2018.00041","29892599","PMC5985399","https://pmc.ncbi.nlm.nih.gov/articles/PMC5985399/","FULL_TEXT_VERIFIED","NO_CORRECTION_OR_RETRACTION_FLAG_IN_PUBMED_AS_OF_2026-07-17","exercise and nutrition intervention populations","individual response and meaningful change","NOT_REPORTED","NOT_REPORTED","NOT_REPORTED","MIXED_OR_NOT_REPORTED","RQ-E","NOT_EXTRACTED_IN_RQ_E_SEARCH","NOT_EXTRACTED_IN_RQ_E_SEARCH","INDIVIDUAL_RESPONSE_METHODS","Combines typical error confidence intervals and SWC; error exceedance and worthwhile magnitude remain distinct and noncausal."
"FRV2-E-007","Individual response to exercise training - a statistical perspective",2015,"METHODOLOGICAL_REVIEW","10.1152/japplphysiol.00714.2014","25663672","","https://pubmed.ncbi.nlm.nih.gov/25663672/","ABSTRACT_ONLY","NO_CORRECTION_OR_RETRACTION_FLAG_IN_PUBMED_AS_OF_2026-07-17","exercise-training participants","subject-by-training response","NOT_REPORTED","NOT_REPORTED","NOT_REPORTED","MIXED_OR_NOT_REPORTED","RQ-E","NOT_EXTRACTED_IN_RQ_E_SEARCH","NOT_EXTRACTED_IN_RQ_E_SEARCH","INDIVIDUAL_RESPONSE_METHODS","Measurement error and within-subject efficacy variation confound responder labels; stable personal response requires replicated interventions or contrasts."
"FRV2-E-008","A Systematic Review Examining the Approaches Used to Estimate Interindividual Differences in Trainability and Classify Individual Responses to Exercise Training",2021,"SYSTEMATIC_REVIEW","10.3389/fphys.2021.665044","34819869","PMC8606564","https://pmc.ncbi.nlm.nih.gov/articles/PMC8606564/","FULL_TEXT_VERIFIED","NO_CORRECTION_OR_RETRACTION_FLAG_IN_PUBMED_AS_OF_2026-07-17","human exercise-training studies","trainability and response classification","ADULT_AND_CLINICAL_MIXED","MIXED_OR_NOT_REPORTED","NOT_REPORTED","MIXED","RQ-E","NOT_EXTRACTED_IN_RQ_E_SEARCH","NOT_EXTRACTED_IN_RQ_E_SEARCH","INDIVIDUAL_RESPONSE_REVIEW_OVERLAP","Response rates inflate when classification ignores error and SWC or MCID; heterogeneous reviewed outcomes prevent universal thresholds."
"FRV2-E-009","Mastering variation: variance components and personalised medicine",2016,"STATISTICAL_METHODS_CRITIQUE","10.1002/sim.6739","26415869","PMC5054923","https://pmc.ncbi.nlm.nih.gov/articles/PMC5054923/","FULL_TEXT_VERIFIED","NO_CORRECTION_OR_RETRACTION_FLAG_IN_PUBMED_AS_OF_2026-07-17","clinical trial and personalised-medicine examples","variance components and replicated individual contrasts","NOT_REPORTED","NOT_REPORTED","NOT_REPORTED","CLINICAL_MIXED","RQ-E","NOT_EXTRACTED_IN_RQ_E_SEARCH","NOT_EXTRACTED_IN_RQ_E_SEARCH","INDIVIDUAL_RESPONSE_METHODS","Methodological opposition to naive personalization; observed between-person spread does not prove repeatable personal treatment response."
"FRV2-E-010","""Magnitude-based inference"": a statistical review",2015,"STATISTICAL_CRITIQUE","10.1249/MSS.0000000000000451","25051387","PMC5642352","https://pmc.ncbi.nlm.nih.gov/articles/PMC5642352/","FULL_TEXT_VERIFIED","NO_CORRECTION_OR_RETRACTION_FLAG_IN_PUBMED_AS_OF_2026-07-17","sports science statistical applications","magnitude-based inference operating characteristics","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","RQ-E","NOT_EXTRACTED_IN_RQ_E_SEARCH","NOT_EXTRACTED_IN_RQ_E_SEARCH","MBI_CRITIQUE_FAMILY","MBI reduced-sample claims are not justified; use transparent intervals or a fully specified Bayesian model while separately justifying important effects."
