source_id,title,year,source_type,doi,pmid,pmcid,url,full_text_state,correction_state,population,event,age_range,sex,maturity,training_status,rq_tags,funding,conflicts,overlap_group,notes
"FRV2-G-001","Youth running consensus statement: minimising risk of injury and illness in youth runners","2021","CONSENSUS_STATEMENT","10.1136/bjsports-2020-102518","33122252","","https://pubmed.ncbi.nlm.nih.gov/33122252/","ABSTRACT_ONLY","NO_CORRECTION_OR_RETRACTION_NOTICE_FOUND","Children and adolescent runners","RUNNING","YOUTH;ADOLESCENT","ALL","RETAINED_AS_CONTEXT","COMPETITIVE_AND_RECREATIONAL_YOUTH_RUNNERS","RQ-G","NOT_EXTRACTED_IN_SEARCH_PACKET","NOT_EXTRACTED_IN_SEARCH_PACKET","NOT_ASSESSED","Core direct youth-runner boundary; no validated age-distance or clearance rule"
"FRV2-G-002","Overuse Injuries, Overtraining, and Burnout in Young Athletes","2024","CLINICAL_REPORT","10.1542/peds.2023-065129","38247370","","https://publications.aap.org/pediatrics/article/153/2/e2023065129/196435/Overuse-Injuries-Overtraining-and-Burnout-in-Young","FULL_TEXT_VERIFIED","NO_CORRECTION_OR_RETRACTION_NOTICE_FOUND","Children and adolescent athletes","YOUTH_SPORT","CHILD;ADOLESCENT","ALL","GROWTH_RETAINED_AS_CONTEXT","VARIED_YOUTH_ATHLETES","RQ-G","NO_EXTERNAL_FUNDING_REPORTED","UPTODATE_AUTHOR_RELATIONSHIP_DISCLOSED_AND_MITIGATED","NOT_ASSESSED","Pain and overuse concern require clinician review; no product diagnosis or treatment"
"FRV2-G-003","International Olympic Committee consensus statement on youth athletic development","2015","CONSENSUS_STATEMENT","10.1136/bjsports-2015-094962","26084524","","https://bjsm.bmj.com/content/49/13/843","FULL_TEXT_VERIFIED","NO_CORRECTION_OR_RETRACTION_NOTICE_FOUND","Youth athletes across participation and performance levels","YOUTH_SPORT","YOUTH","ALL","INDIVIDUAL_DEVELOPMENT_RETAINED","ALL_LEVELS","RQ-G","NOT_EXTRACTED_IN_SEARCH_PACKET","NOT_EXTRACTED_IN_SEARCH_PACKET","NOT_ASSESSED","Broad healthy inclusive sustainable participation and safeguarding boundary"
"FRV2-G-004","IOC consensus statement on elite youth athletes competing at the Olympic Games: essentials to a healthy, safe and sustainable paradigm","2024","CONSENSUS_STATEMENT","10.1136/bjsports-2024-108186","39197945","","https://bjsm.bmj.com/content/58/17/946","FULL_TEXT_VERIFIED","NO_CORRECTION_OR_RETRACTION_NOTICE_FOUND","Elite youth athletes approaching international competition","YOUTH_COMPETITION","YOUTH;ADOLESCENT","ALL","NONLINEAR_ASYNCHRONOUS_DEVELOPMENT_RETAINED","ELITE_INTERNATIONAL_PATHWAY","RQ-G","NOT_EXTRACTED_IN_SEARCH_PACKET","NOT_EXTRACTED_IN_SEARCH_PACKET","NOT_ASSESSED","Recent competition is context only and never recovery or readiness evidence"
"FRV2-G-005","2023 International Olympic Committee's (IOC) consensus statement on Relative Energy Deficiency in Sport (REDs)","2023","CONSENSUS_STATEMENT","10.1136/bjsports-2023-106994","37752011","","https://bjsm.bmj.com/content/57/17/1073","FULL_TEXT_VERIFIED","CORRECTED_2024-02-07;PMID_38325885;DOI_10.1136/bjsports-2023-106994corr1;APPLIED","Female and male athletes exposed to low energy availability","RED-S;ENERGY_AVAILABILITY;SPORT_PARTICIPATION","ADOLESCENT;ADULT","ALL","ADOLESCENT_CONTEXT_RETAINED","VARIED_ATHLETES","RQ-G","NOT_EXTRACTED_IN_SEARCH_PACKET","NOT_EXTRACTED_IN_SEARCH_PACKET","REDS_CONSENSUS","Correction-aware extraction; CAT2 is clinician-facing and must not be automated"
"FRV2-G-006","2025 Update to the Female Athlete Triad Coalition Consensus Statement Part 1: State of the Science and Introduction of a New Adolescent Model","2026","CONSENSUS_STATE_OF_SCIENCE","10.1007/s40279-025-02333-z","41474493","PMC12982264","https://pmc.ncbi.nlm.nih.gov/articles/PMC12982264/","FULL_TEXT_VERIFIED","NO_CORRECTION_OR_RETRACTION_NOTICE_FOUND","Adolescent and adult female athletes","ENERGY_DEFICIENCY;REPRODUCTIVE_FUNCTION;BONE_HEALTH","ADOLESCENT;ADULT","FEMALE","ADOLESCENT_MODEL_EXPLICIT","VARIED_FEMALE_ATHLETES","RQ-G","NOT_EXTRACTED_IN_SEARCH_PACKET","NOT_EXTRACTED_IN_SEARCH_PACKET","FEMALE_TRIAD_2025_UPDATE","Sex-specific evidence retained; no sex-based product score or restriction"
"FRV2-G-007","2025 Update to the Female Athlete Triad Coalition Consensus Statement Part 2: Clinical Guidelines for Screening, Diagnosis, Treatment, and Return to Play for Adolescents and Adults","2026","CLINICAL_CONSENSUS_GUIDELINE","10.1007/s40279-025-02332-0","41474492","PMC12982345","https://pmc.ncbi.nlm.nih.gov/articles/PMC12982345/","FULL_TEXT_VERIFIED","NO_CORRECTION_OR_RETRACTION_NOTICE_FOUND","Adolescent and adult female athletes","TRIAD_SCREENING;CLINICAL_MANAGEMENT;RETURN_TO_PLAY","ADOLESCENT;ADULT","FEMALE","ADOLESCENT_GUIDANCE_EXPLICIT","VARIED_FEMALE_ATHLETES","RQ-G","NOT_EXTRACTED_IN_SEARCH_PACKET","NOT_EXTRACTED_IN_SEARCH_PACKET","FEMALE_TRIAD_2025_UPDATE","Clinical thresholds and return-to-play categories are not product automation inputs"
"FRV2-G-008","The Male Athlete Triad-A Consensus Statement From the Female and Male Athlete Triad Coalition Part II: Diagnosis, Treatment, and Return-To-Play","2021","CLINICAL_CONSENSUS_GUIDELINE","10.1097/JSM.0000000000000948","34091538","","https://pubmed.ncbi.nlm.nih.gov/34091538/","ABSTRACT_ONLY","NO_CORRECTION_OR_RETRACTION_NOTICE_FOUND","Adolescent and young adult male athletes; especially endurance and weight-class sports","ENERGY_DEFICIENCY;BONE_HEALTH;RETURN_TO_PLAY","ADOLESCENT;YOUNG_ADULT","MALE","ADOLESCENT_BONE_ACCRUAL_RETAINED","ENDURANCE_AND_LEAN_PHYSIQUE_ATHLETES","RQ-G","NOT_EXTRACTED_IN_SEARCH_PACKET","NOT_EXTRACTED_IN_SEARCH_PACKET","MALE_TRIAD_CONSENSUS","Male sex is not protective; multidisciplinary medical assessment required"
"FRV2-G-009","Recommended Amount of Sleep for Pediatric Populations: A Consensus Statement of the American Academy of Sleep Medicine","2016","CONSENSUS_STATEMENT","10.5664/jcsm.5866","27250809","PMC4877308","https://pmc.ncbi.nlm.nih.gov/articles/PMC4877308/","FULL_TEXT_VERIFIED","NO_CORRECTION_OR_RETRACTION_NOTICE_FOUND","Healthy children and adolescents","SLEEP_DURATION","4_MONTHS_TO_18_YEARS","ALL","AGE_BANDS_RETAINED","GENERAL_PEDIATRIC_POPULATION","RQ-G","NOT_EXTRACTED_IN_SEARCH_PACKET","NOT_EXTRACTED_IN_SEARCH_PACKET","PEDIATRIC_SLEEP_CONSENSUS","General sleep-duration guidance is not athlete readiness or injury clearance"
"FRV2-G-010","International Olympic Committee (IOC) consensus statement on acute respiratory illness in athletes part 1: acute respiratory infections","2022","CLINICAL_CONSENSUS_STATEMENT","10.1136/bjsports-2022-105759","35863871","","https://pubmed.ncbi.nlm.nih.gov/35863871/","ABSTRACT_ONLY","NO_CORRECTION_OR_RETRACTION_NOTICE_FOUND","Athletes with acute respiratory infection","ACUTE_RESPIRATORY_ILLNESS;RETURN_TO_SPORT","BROAD_ATHLETE_AGE_RANGE","ALL","NOT_REPORTED","VARIED_ATHLETES","RQ-G","NOT_EXTRACTED_IN_SEARCH_PACKET","DECLARED;SEE_SOURCE","IOC_ACUTE_RESPIRATORY_CONSENSUS","Youth directness low; illness and return-to-sport assessment remain clinician functions"
"FRV2-G-011","The Adolescent Athlete and the Team Physician: A Consensus Statement. 2025 Update","2026","TEAM_PHYSICIAN_CONSENSUS","10.1249/MSS.0000000000003863","41529152","","https://pubmed.ncbi.nlm.nih.gov/41529152/","ABSTRACT_ONLY","NO_CORRECTION_OR_RETRACTION_NOTICE_FOUND","Adolescent athletes ages 12-18","ADOLESCENT_SPORT;INJURY;ILLNESS;RETURN_TO_SPORT","12-18_YEARS","ALL","GROWTH_AND_DEVELOPMENT_RETAINED","SCHOOL_INTRAMURAL_AND_SPECIALIZED_SPORT","RQ-G","NOT_EXTRACTED_IN_SEARCH_PACKET","NOT_EXTRACTED_IN_SEARCH_PACKET","ADOLESCENT_TEAM_PHYSICIAN_CONSENSUS","Under-12 athletes outside scope; product cannot substitute for team physician"
"FRV2-G-012","IOC consensus statement: interpersonal violence and safeguarding in sport","2024","SCOPING_REVIEW_AND_DELPHI_CONSENSUS","10.1136/bjsports-2024-108766","39586634","","https://bjsm.bmj.com/content/58/22/1322","FULL_TEXT_VERIFIED","NO_CORRECTION_OR_RETRACTION_NOTICE_FOUND","Athletes across ages and levels; children and youth explicitly considered","SAFEGUARDING;INTERPERSONAL_VIOLENCE","ALL_AGES","ALL","CHILD_AND_YOUTH_STATUS_RETAINED","ALL_LEVELS","RQ-G","NOT_EXTRACTED_IN_SEARCH_PACKET","DECLARED;SEE_SOURCE","IOC_SAFEGUARDING_CONSENSUS","Concern content routes outside planner to named trained safeguarding human"
"FRV2-G-013","International Safeguards for Children in Sport","2014","ORGANIZATIONAL_STANDARD","","","","https://www.safesportinternational.com/standards/international-safeguards-for-children-in-sport/","FULL_TEXT_VERIFIED","NO_CORRECTION_OR_RETRACTION_NOTICE_FOUND","Children participating in sport from grassroots through elite","CHILD_SAFEGUARDING","CHILD","ALL","CHILD_STATUS_EXPLICIT","GRASSROOTS_TO_ELITE","RQ-G","NOT_APPLICABLE","NOT_EXTRACTED_IN_SEARCH_PACKET","INTERNATIONAL_CHILD_SAFEGUARDS","Organizational standard with jurisdiction-specific implementation and reporting duties"
"FRV2-G-014","Associations between growth, maturation and injury in youth athletes engaged in elite pathways: a scoping review","2024","SCOPING_REVIEW","10.1136/bjsports-2024-108233","39209526","PMC11420720","https://pmc.ncbi.nlm.nih.gov/articles/PMC11420720/","FULL_TEXT_VERIFIED","NO_CORRECTION_OR_RETRACTION_NOTICE_FOUND","Elite youth athletes across pathways","GROWTH;MATURATION;INJURY","YOUTH","ALL","PRIMARY_EXPOSURE","ELITE_PATHWAYS","RQ-G","NOT_EXTRACTED_IN_SEARCH_PACKET","NONE_DECLARED","GROWTH_MATURATION_REVIEW","Heterogeneous methods; female athletes and sport diversity underrepresented"
"FRV2-G-015","Skeletal maturation and growth rates are related to bone and growth plate injuries in adolescent athletics","2020","PROSPECTIVE_COHORT","10.1111/sms.13635","32034797","","https://pubmed.ncbi.nlm.nih.gov/32034797/","ABSTRACT_ONLY","NO_CORRECTION_OR_RETRACTION_NOTICE_FOUND","Male elite adolescent athletics academy athletes; 117 athlete-seasons","ATHLETICS;BONE_INJURY;GROWTH_PLATE_INJURY","ADOLESCENT","MALE","SKELETAL_MATURITY_AND_GROWTH_RATE_MEASURED","ELITE_ACADEMY","RQ-G","NOT_EXTRACTED_IN_SEARCH_PACKET","NOT_EXTRACTED_IN_SEARCH_PACKET","ELITE_ADOLESCENT_GROWTH_COHORT","Small single-academy association study; IRRs are not individual risk scores"
"FRV2-G-016","Identifying sex-specific risk factors for stress fractures in adolescent runners","2013","PROSPECTIVE_COHORT","10.1249/MSS.0b013e3182963d75","23584402","","https://pubmed.ncbi.nlm.nih.gov/23584402/","ABSTRACT_ONLY","NO_CORRECTION_OR_RETRACTION_NOTICE_FOUND","Competitive high-school runners; 442 girls and 306 boys at baseline","CROSS_COUNTRY;TRACK_AND_FIELD;STRESS_FRACTURE","HIGH_SCHOOL","FEMALE;MALE","MENARCHE_RETAINED_AS_REPORTED_FACTOR","COMPETITIVE_HIGH_SCHOOL_RUNNERS","RQ-G","NOT_EXTRACTED_IN_SEARCH_PACKET","NOT_EXTRACTED_IN_SEARCH_PACKET","ADOLESCENT_RUNNER_STRESS_FRACTURE_COHORT","Low event counts; sex BMI and menarche findings must not become automated thresholds"
