source_id,field,lane_1_value,lane_2_value,conservative_value,human_confirmation
FRV2-A-005,architecture_directness,PARTIAL,INDIRECT,INDIRECT,PENDING_HUMAN
FRV2-A-006,architecture_directness,PARTIAL,INDIRECT,INDIRECT,PENDING_HUMAN
FRV2-A-007,overall_judgment,HIGH_CONCERN,SOME_CONCERNS,HIGH_CONCERN,PENDING_HUMAN
FRV2-A-007,youth_directness,INDIRECT,PARTIAL,INDIRECT,PENDING_HUMAN
FRV2-A-007,architecture_directness,PARTIAL,INDIRECT,INDIRECT,PENDING_HUMAN
FRV2-A-008,overall_judgment,HIGH_CONCERN,SOME_CONCERNS,HIGH_CONCERN,PENDING_HUMAN
FRV2-A-008,youth_directness,INDIRECT,PARTIAL,INDIRECT,PENDING_HUMAN
FRV2-A-008,architecture_directness,PARTIAL,INDIRECT,INDIRECT,PENDING_HUMAN
FRV2-A-009,overall_judgment,HIGH_CONCERN,SOME_CONCERNS,HIGH_CONCERN,PENDING_HUMAN
FRV2-A-009,youth_directness,INDIRECT,PARTIAL,INDIRECT,PENDING_HUMAN
FRV2-A-009,architecture_directness,PARTIAL,INDIRECT,INDIRECT,PENDING_HUMAN
FRV2-A-010,overall_judgment,SOME_CONCERNS,NOT_ASSESSABLE,NOT_ASSESSABLE,PENDING_HUMAN
FRV2-A-010,youth_directness,INDIRECT,PARTIAL,INDIRECT,PENDING_HUMAN
FRV2-A-010,architecture_directness,PARTIAL,NOT_APPLICABLE,NOT_VERIFIED,PENDING_HUMAN
FRV2-A-011,overall_judgment,HIGH_CONCERN,SOME_CONCERNS,HIGH_CONCERN,PENDING_HUMAN
FRV2-A-011,youth_directness,INDIRECT,PARTIAL,INDIRECT,PENDING_HUMAN
FRV2-A-012,overall_judgment,HIGH_CONCERN,SOME_CONCERNS,HIGH_CONCERN,PENDING_HUMAN
FRV2-A-012,youth_directness,INDIRECT,PARTIAL,INDIRECT,PENDING_HUMAN
FRV2-A-013,overall_judgment,HIGH_CONCERN,SOME_CONCERNS,HIGH_CONCERN,PENDING_HUMAN
FRV2-A-013,youth_directness,INDIRECT,PARTIAL,INDIRECT,PENDING_HUMAN
FRV2-A-014,overall_judgment,HIGH_CONCERN,SOME_CONCERNS,HIGH_CONCERN,PENDING_HUMAN
FRV2-A-014,youth_directness,INDIRECT,PARTIAL,INDIRECT,PENDING_HUMAN
FRV2-A-015,overall_judgment,HIGH_CONCERN,SOME_CONCERNS,HIGH_CONCERN,PENDING_HUMAN
FRV2-A-015,youth_directness,INDIRECT,PARTIAL,INDIRECT,PENDING_HUMAN
