source_id,title,year,source_type,doi,pmid,pmcid,url,full_text_state,correction_state,population,event,age_range,sex,maturity,training_status,rq_tags,funding,conflicts,overlap_group,notes
FRV2-A-005,A Systematic Review of Meta-Analyses Comparing Periodized and Non-periodized Exercise Programs: Why We Should Go Back to Original Research,2019,SYSTEMATIC_REVIEW_OF_META_ANALYSES,10.3389/fphys.2019.01023,31440169,PMC6692867,https://pmc.ncbi.nlm.nih.gov/articles/PMC6692867/,FULL_TEXT_VERIFIED,NOT_VERIFIED,Humans represented in periodization meta-analyses; underlying studies were strength training,Strength training,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,Mixed,RQ-A,NOT_VERIFIED,NOT_VERIFIED,FRV2-OVERLAP-PERIODIZATION-METHODOLOGY,No audited study tested varied nonperiodized comparators or accuracy of adaptation-timing predictions; running transfer is indirect. owner_target=9_5_DAY_AUTOMATED_PRESCRIPTION; runtime_authority=false
FRV2-A-006,Coaches' Perceptions of Common Planning Concepts Within Training Theory: An International Survey,2023,CROSS_SECTIONAL_COACH_SURVEY,10.1186/s40798-023-00657-6,37989900,PMC10663426,https://pmc.ncbi.nlm.nih.gov/articles/PMC10663426/,FULL_TEXT_VERIFIED,NOT_VERIFIED,106 coaches; 58% individual-sport coaches and 32% coaching international-level athletes,Multiple sports,18-65+ years,92% male; 8% female,NOT_APPLICABLE,Coaches of amateur through international athletes,RQ-A,Open Access funding enabled and organized by Projekt DEAL,NOT_VERIFIED,FRV2-OVERLAP-COACH-PLANNING-SURVEYS,"Perceptions support revisable planning indirectly; no running subgroup, cycle prevalence, or outcome efficacy. owner_target=9_5_DAY_AUTOMATED_PRESCRIPTION; runtime_authority=false"
FRV2-A-007,Best-Practice Training Characteristics Within Olympic Endurance Sports as Described by Norwegian World-Class Coaches,2025,DESCRIPTIVE_MULTIPLE_CASE_STUDY,10.1186/s40798-025-00848-3,40278987,PMC12031707,https://pmc.ncbi.nlm.nih.gov/articles/PMC12031707/,FULL_TEXT_VERIFIED,CURRENT_CROSSMARK,12 successful male Norwegian coaches across eight Olympic endurance sports,Long-distance running and seven other Olympic endurance sports,NOT_REPORTED,Male,NOT_APPLICABLE,World-class coach informants,RQ-A,Kristiania University College,NONE_DECLARED,FRV2-OVERLAP-ENDURANCE-COACH-CASE_STUDIES,Weekly organization remained explicit and pragmatic adjustments were reported; middle-distance events under six minutes were excluded. owner_target=9_5_DAY_AUTOMATED_PRESCRIPTION; runtime_authority=false
FRV2-A-008,The Training Characteristics of World-Class Distance Runners: An Integration of Scientific Literature and Results-Proven Practice,2022,NARRATIVE_REVIEW,10.1186/s40798-022-00438-7,35362850,PMC8975965,https://pmc.ncbi.nlm.nih.gov/articles/PMC8975965/,FULL_TEXT_VERIFIED,NOT_VERIFIED,World-class adult distance runners,5000 m; 10000 m; marathon,Adult,Mixed; not separately extracted,ADULT,World-class,RQ-A,NOT_VERIFIED,NOT_VERIFIED,FRV2-OVERLAP-RUNNER-PERIODIZATION-REVIEWS,Reports 11-14 sessions per week and typical training weeks; no nonweekly-frame comparison. owner_target=9_5_DAY_AUTOMATED_PRESCRIPTION; runtime_authority=false
FRV2-A-009,Training Quantification and Periodization During Live High Train High at 2100 m in Elite Runners: An Observational Cohort Case Study,2018,OBSERVATIONAL_COHORT_CASE_STUDY,NOT_ASSIGNED,30479529,PMC6243625,https://pmc.ncbi.nlm.nih.gov/articles/PMC6243625/,FULL_TEXT_VERIFIED,NOT_VERIFIED,Eight elite adult middle-distance runners,Middle-distance running,25 +/- 6 years,6 male; 2 female,ADULT,Elite and international,RQ-A,NOT_VERIFIED,NOT_VERIFIED,FRV2-OVERLAP-ALTITUDE-RUNNER-COHORTS,Typical training week with individual event and altitude adjustments; n=8 and no nonweekly comparator. owner_target=9_5_DAY_AUTOMATED_PRESCRIPTION; runtime_authority=false
FRV2-A-010,Chronic Glutamine Supplementation Increases Nasal but not Salivary IgA During 9 Days of Interval Training,2004,RANDOMIZED_SUPPLEMENT_PLACEBO_OVERLOAD_EXPERIMENT,10.1152/japplphysiol.00971.2003,15107413,NOT_REPORTED,https://journals.physiology.org/doi/full/10.1152/japplphysiol.00971.2003,FULL_TEXT_VERIFIED,NOT_VERIFIED,13 healthy adult runners,Recreational running overload study,18-49 years inclusion,9 male; 4 female,ADULT,Runners completing at least 20 miles per week and meeting VO2 criteria,RQ-A,NOT_VERIFIED,NOT_VERIFIED,FRV2-OVERLAP-EXACT-DURATION-FALSE-POSITIVES,"A 9-9.5 consecutive-day overload exposure, not a recurring microcycle; exclude as frame evidence. owner_target=9_5_DAY_AUTOMATED_PRESCRIPTION; runtime_authority=false"
FRV2-A-011,How Meb Keflezighi Trained to Win the Boston Marathon,2014,ATHLETE_INTERVIEW_REPORT,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,https://www.runnersworld.com/races-places/a20852813/how-meb-keflezighi-trained-to-win-the-boston-marathon/,FULL_TEXT_VERIFIED,NOT_VERIFIED,"Meb Keflezighi, elite adult male marathoner",Marathon,Late 30s,Male,ADULT,Elite professional,RQ-A,NOT_APPLICABLE,NOT_APPLICABLE,FRV2-OVERLAP-NONWEEKLY-COACHING-USE,"Verified retrospective self-report of a 9-day cycle; use evidence only, with no causal efficacy or youth-transfer inference. owner_target=9_5_DAY_AUTOMATED_PRESCRIPTION; runtime_authority=false"
FRV2-A-012,Can a 9-Day Training Cycle Work? YouTuber Michael Ko Thinks So,2023,JOURNALISTIC_SELF_REPORT,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,https://www.runnersworld.com/news/a43877401/9-day-training-cycle-michael-ko/,FULL_TEXT_VERIFIED,NOT_VERIFIED,"Michael Ko, adult recreational marathoner",Marathon,NOT_REPORTED,Male,ADULT,Recreational,RQ-A,NOT_APPLICABLE,NOT_APPLICABLE,FRV2-OVERLAP-NONWEEKLY-COACHING-USE,Single self-programmed 9-day case with self-reported outcomes and concurrent changes; no causal inference. owner_target=9_5_DAY_AUTOMATED_PRESCRIPTION; runtime_authority=false
FRV2-A-013,Can't Fit Everything into a Week? Try a 14-Day Training Cycle,2020,COACH_ATHLETE_INTERVIEW_PRACTICE_ARTICLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,https://www.outsideonline.com/running/training/running-101/cant-fit-everything-into-a-week-try-a-14-day-training-cycle/,FULL_TEXT_VERIFIED,NOT_VERIFIED,Adult distance runners and coaches including Lindsey Scherf and Thom Hunt,Marathon; half marathon; cross-country,Adult,Mixed,ADULT,Elite and recreational runners; coaches,RQ-A,NOT_APPLICABLE,NOT_APPLICABLE,FRV2-OVERLAP-NONWEEKLY-COACHING-USE,Hunt reports actual 10-day use; article also provides a 9-day template and practical counterevidence. A quoted 72 hours is not clearance. owner_target=9_5_DAY_AUTOMATED_PRESCRIPTION; runtime_authority=false
FRV2-A-014,Train Smarter by Dumping the 7-Day Cycle,2019,COACHING_ARTICLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,https://www.outsideonline.com/running/training/running-101/revisiting-the-7-day-training-week/,FULL_TEXT_VERIFIED,NOT_VERIFIED,Distance runners; named Hansons Olympic Development Program and Ray Treacy athletes,Distance running,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,Elite program athletes and runners broadly,RQ-A,NOT_APPLICABLE,NOT_APPLICABLE,FRV2-OVERLAP-NONWEEKLY-COACHING-USE,"Third-party report of 10-day use, not a primary verified protocol; unsupported injury language excluded. owner_target=9_5_DAY_AUTOMATED_PRESCRIPTION; runtime_authority=false"
