candidate_id,pmid,doi,pubmed_title,verified_at,verification_endpoint
FRV2-SUP-A-001,35975912,10.1249/MSS.0000000000002968,Individualized Endurance Training Based on Recovery and Training Status in Recreational Runners.,2026-07-17,NCBI_PUBMED_ESUMMARY
FRV2-SUP-A-002,35100267,10.1371/journal.pone.0263093,A four-season study quantifying the weekly external training loads during different between match microcycle lengths in professional rugby league.,2026-07-17,NCBI_PUBMED_ESUMMARY
FRV2-SUP-A-003,35309541,10.5114/biolsport.2022.106148,"Effect of training day, match, and length of the microcycle on workload periodization in professional soccer players: a full-season study.",2026-07-17,NCBI_PUBMED_ESUMMARY
FRV2-SUP-C-001,41994354,10.5114/biolsport.2026.156227,Repeated sprint training induces prolonged residual fatigue compared to other high-intensity interval training modalities in middle-distance runners.,2026-07-17,NCBI_PUBMED_ESUMMARY
FRV2-SUP-E-001,34902855,10.4085/1062-6050-523-21,Quantification Method and Training Load Changes in High School Cross-Country Runners Across a Competitive Season.,2026-07-17,NCBI_PUBMED_ESUMMARY
FRV2-SUP-E-002,33799558,10.3390/bios11030077,Superior Adaptations in Adolescent Runners Using Heart Rate Variability (HRV)-Guided Training at Altitude.,2026-07-17,NCBI_PUBMED_ESUMMARY
FRV2-SUP-E-003,40566441,10.3390/jfmk10020191,Determining the Effects of a 6-Week Training Intervention on Reactive Strength: A Single-Case Experimental Design Approach.,2026-07-17,NCBI_PUBMED_ESUMMARY
FRV2-SUP-K-001,12165889,10.1055/s-2002-33146,Physiological and performance responses to a 6-day taper in middle-distance runners: influence of training frequency.,2026-07-17,NCBI_PUBMED_ESUMMARY
FRV2-SUP-K-002,25189116,10.1080/17461391.2014.955128,Tapering strategies in elite British endurance runners.,2026-07-17,NCBI_PUBMED_ESUMMARY
FRV2-SUP-K-003,30608885,10.1139/apnm-2018-0551,Effects of an increase in intensity during tapering on 1500-m running performance.,2026-07-17,NCBI_PUBMED_ESUMMARY
FRV2-SUP-K-004,34062089,10.1139/apnm-2021-0103,Lower volume throughout the taper and higher intensity in the last interval session prior to a 1500 m time trial improves performance.,2026-07-17,NCBI_PUBMED_ESUMMARY
FRV2-SUP-K-005,29722599,10.1080/02640414.2018.1472200,"Champions are racers, not pacers: an analysis of qualification patterns of Olympic and IAAF World Championship middle distance runners.",2026-07-17,NCBI_PUBMED_ESUMMARY
FRV2-SUP-K-006,30569794,10.1123/ijspp.2018-0742,Successful Pacing Profiles of Olympic and IAAF World Championship Middle-Distance Runners Across Qualifying Rounds and Finals.,2026-07-17,NCBI_PUBMED_ESUMMARY
FRV2-SUP-K-007,41667403,10.1002/ejsc.70142,National-Standard Middle-Distance Runners Maintain 1500 m Time Trial Running Performance on Successive Days.,2026-07-17,NCBI_PUBMED_ESUMMARY
FRV2-SUP-K-008,38565706,10.1007/s00421-024-05463-w,Menthol alleviates post-race elevations in muscle soreness and metabolic and respiratory stress during running.,2026-07-17,NCBI_PUBMED_ESUMMARY
FRV2-SUP-K-009,42181777,10.4085/1062-6050-0203.25,Epidemiology of Injuries in United States High School Track and Field Running Events From 2008 to 2019.,2026-07-17,NCBI_PUBMED_ESUMMARY
FRV2-SUP-K-010,40254901,10.1002/ejsc.12297,Post-Match Recovery Responses in Italian Serie A Youth Soccer Players: Effects of Manipulating Training Load 48 h After Match Play.,2026-07-17,NCBI_PUBMED_ESUMMARY
FRV2-SUP-K-011,31581584,10.3390/sports7100218,Isometric Posterior Chain Peak Force Recovery Response Following Match-Play in Elite Youth Soccer Players: Associations with Relative Posterior Chain Strength.,2026-07-17,NCBI_PUBMED_ESUMMARY
